"tag","host","freq_tag_by_response","response_per_host","average_tokens","min_tokens","max_tokens"
"@href","tabs2.gerg.tamu.edu",3034,1,1.00,1,1
"@href","storms.ngs.noaa.gov",3034,4,1.00,1,1
"@href","stellwagen.er.usgs.gov",3034,220,1.00,1,1
"@href","srfs.wr.usgs.gov",3034,2,1.00,1,1
"@href","snow.proto.gina.alaska.edu",3034,1,1.00,1,1
"@href","sg.geodatenzentrum.de",3034,6,1.00,1,1
"@href","gcoos.disl.org",3034,1,1.00,1,1
"@href","geobrain.laits.gmu.edu",3034,2,1.00,1,1
"@href","geocapa.viacapa.fr",3034,2,1.00,1,1
"@href","geodata.epa.gov",3034,17,1.00,1,1
"@href","geonames.nga.mil",3034,1,1.00,1,1
"@href","geonetwork4.fao.org",3034,2,1.00,1,1
"@href","geonexusr.iowadot.gov",3034,20,1.00,1,1
"@href","geoportal-geoportail.gc.ca",3034,6,1.00,1,1
"@href","geoport.whoi.edu",3034,8,1.00,1,1
"@href","geo.prgap.org",3034,3,1.00,1,1
"@href","geo.stat.fi",3034,8,1.00,1,1
"@href","geo.sv.rostock.de",3034,3,1.00,1,1
"@href","geothermal.isgs.illinois.edu",3034,107,1.00,1,1
"@href","geothermal.smu.edu",3034,2,1.00,1,1
"@href","services.wvgis.wvu.edu",3034,16,1.00,1,1
"@href","107.20.228.18",3034,2,1.00,1,1
"@href","acdisc.sci.gsfc.nasa.gov",3034,2,1.00,1,1
"@href","apps.fs.fed.us",3034,24,1.00,1,1
"@href","apps.fs.usda.gov",3034,2,1.00,1,1
"@href","apps.nd.gov",3034,1,1.00,1,1
"@href","atlas.geog.pdx.edu",3034,8,1.00,1,1
"@href","atlas.resources.ca.gov",3034,2,1.00,1,1
"@href","atlas.wvgs.wvnet.edu",3034,24,1.00,1,1
"@href","basemap.nationalmap.gov",3034,12,1.00,1,1
"@href","bio.discomap.eea.europa.eu",3034,5,1.00,1,1
"@href","bluehub.jrc.ec.europa.eu",3034,4,1.00,1,1
"@href","certmapper.cr.usgs.gov",3034,21,1.00,1,1
"@href","clear3.uconn.edu",3034,2,1.00,1,1
"@href","cloud.insideidaho.org",3034,1,1.00,1,1
"@href","coastalmap.marine.usgs.gov",3034,29,1.00,1,1
"@href","gis1.usgs.gov",3034,37,1.00,1,1
"@href","coast.noaa.gov",3034,189,1.00,1,1
"@href","comps.marine.usf.edu",3034,1,1.00,1,1
"@href","cwcgom.aoml.noaa.gov",3034,9,1.00,1,1
"@href","data.gov.au",3034,13,1.00,1,1
"@href","data.jrc.ec.europa.eu",3034,1,1.00,1,1
"@href","data.nanoos.org",3034,1,1.00,1,1
"@href","dataserver.nccs.nasa.gov",3034,6,1.00,1,1
"@href","data.wien.gv.at",3034,3,1.00,1,1
"@href","demo.mapserver.org",3034,3,1.00,1,1
"@href","demo.pycsw.org",3034,3,2.00,2,2
"@href","disc1.gsfc.nasa.gov",3034,1,1.00,1,1
"@href","disc1.sci.gsfc.nasa.gov",3034,6,1.00,1,1
"@href","discomap.eea.europa.eu",3034,16,1.00,1,1
"@href","ebolageonode.org",3034,2,2.00,2,2
"@href","ecco.jpl.nasa.gov",3034,340,1.00,1,1
"@href","ec.gc.ca",3034,1,1.00,1,1
"@href","egis.hud.gov",3034,6,1.00,1,1
"@href","egisws02.nos.noaa.gov",3034,42,1.00,1,1
"@href","emis.jrc.ec.europa.eu",3034,1,1.00,1,1
"@href","encdirect.noaa.gov",3034,22,1.00,1,1
"@href","esrl.noaa.gov",3034,5,1.00,1,1
"@href","eusoils.jrc.ec.europa.eu",3034,1,1.00,1,1
"@href","ferret.pmel.noaa.gov",3034,584,1.00,1,1
"@href","services.sandre.eaufrance.fr",3034,6,1.00,1,1
"@href","services.nationalmap.gov",3034,15,1.00,1,1
"@href","services.kgs.ku.edu",3034,2,1.00,1,1
"@href","services.information.qld.gov.au",3034,1,1.00,1,1
"@href","services.azgs.az.gov",3034,106,1.00,1,1
"@href","services.aad.gov.au",3034,1,1.00,1,1
"@href","sedsh127.sedsh.gov.uk",3034,4,1.00,1,1
"@href","sedac.ciesin.org",3034,5,1.00,1,1
"@href","seamlessrnc.nauticalcharts.noaa.gov",3034,1,1.00,1,1
"@href","sdmdataaccess.nrcs.usda.gov",3034,1,1.00,1,1
"@href","gis2.metc.state.mn.us",3034,20,1.00,1,1
"@href","schemas.opengis.net",3034,1,1.00,1,1
"@href","sccoos-obs0.ucsd.edu",3034,2,1.00,1,1
"@href","sampleserver1.arcgisonline.com",3034,1,1.00,1,1
"@href","rsg.pml.ac.uk",3034,9,1.00,1,1
"@href","rmgsc.cr.usgs.gov",3034,3,1.00,1,1
"@href","resource.sgu.se",3034,23,1.00,1,1
"@href","recon.sccf.org",3034,1,1.00,1,1
"@href","raster.nationalmap.gov",3034,6,1.00,1,1
"@href","osmc.noaa.gov",3034,4,1.00,1,1
"@href","opendataserver.ashevillenc.gov",3034,1,1.00,1,1
"@href","oos.soest.hawaii.edu",3034,3,1.00,1,1
"@href","onegeology.org",3034,1,1.00,1,1
"@href","ogc.gina.alaska.edu",3034,4,1.00,1,1
"@href","nowcoast.noaa.gov",3034,6,1.00,1,1
"@href","noise.discomap.eea.europa.eu",3034,1,1.00,1,1
"@href","ngs.woc.noaa.gov",3034,3,1.00,1,1
"@href","ngamaps.geointapps.org",3034,4,1.00,1,1
"@href","neowms.sci.gsfc.nasa.gov",3034,1,1.00,1,1
"@href","ndgishub.nd.gov",3034,6,1.00,1,1
"@href","mvcodata.whoi.edu",3034,1,1.00,1,1
"@href","mrdata.usgs.gov",3034,208,1.00,1,1
"@href","moimagery.missouri.edu",3034,10,1.00,1,1
"@href","modwebsrv.modaps.eosdis.nasa.gov",3034,5,1.00,1,1
"@href","michigan.glin.net",3034,2,1.00,1,1
"@href","mgs.geology.wmich.edu",3034,7,1.00,1,1
"@href","megara.tamu.edu",3034,2,1.00,1,1
"@href","maritimeboundaries.noaa.gov",3034,7,1.00,1,1
"@href","maps.york.gov.uk",3034,9,1.00,1,1
"@href","maps.reigate-banstead.gov.uk",3034,1,1.00,1,1
"@href","maps.ngdc.noaa.gov",3034,77,1.00,1,1
"@href","maps.gcc.tas.gov.au",3034,1,1.00,1,1
"@href","mapserver.ngdc.noaa.gov",3034,2,1.00,1,1
"@href","mapserver.kansasgis.org",3034,6,1.00,1,1
"@href","maps.edc.uri.edu",3034,34,1.00,1,1
