"host","codelist","count"
"216.109.20.7","http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml",8
"54.153.196.172","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",1
"arcticlcc.org","http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode",29
"bluehub.jrc.ec.europa.eu","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",1021
"c3grid1.dkrz.de:8080","http://wis.wmo.int/2006/catalogues/gmxCodelists.xml#CI_RoleCode",1538
"ca.water.usgs.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",1
"ca.water.usgs.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",21
"catalog.data.gov","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode",152
"catalog.data.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",3365
"catalog.data.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",96
"catalog.data.gov","http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode",495
"catalog.data.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",45456
"catalog.data.gov","https://www.sciencebase.gov/vocab/category/4f4e475ce4b07f02db47de84",2
"catalog.data.gov","www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",1
"catalogue.datalocale.fr","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",2
"cida.usgs.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",12
"climate-adapt.eea.europa.eu","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",2
"coast.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",2116
"coastwatch.pfeg.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",2705
"d1opzmrrdjgef4.cloudfront.net","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode",2
"data-search.nerc.ac.uk","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",1437
"data-search.nerc.ac.uk","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#MD_ScopeCode",1
"data-search.nerc.ac.uk","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode",10955
"data-search.nerc.ac.uk","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode",475
"data.boisestate.edu","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",8
"data.daff.gov.au","http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode",283
"data.doi.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",20
"data.doi.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",355
"data.fao.org","http://schemas.opengis.net/iso/19139/20070417/resources/Codelist/gmxCodelists.xml#CI_RoleCode",5
