|dc:identifiers|event|link|name|repo|repo_changed|source
0|False|been migrated|http://edoc.bbaw.de/oai?verb=Identify|Publication Server of Berlin-Brandenburgischen Akademie der Wissenschaften, Germany|Opus 4|False|OpenDOAR
1|False|new registry|http://edoc.sub.uni-hamburg.de/klimawandel/oai?verb=Identify|Dokumentenserver Klimawandel of Climate Service Center/HZG , Germany|Opus 4|False|
2|False|been migrated to FreiDok plus|https://www.freidok.uni-freiburg.de/oai/oai2.php?verb=Identify|The FreiDok repository|a new platform software|False|
3|False|been migrated|http://eprints.teiwm.gr/cgi/oai2?verb=Identify|Library of ΤΕΙ of Western Macedonia, Greece|EPrints|False|
4|False|changed the OAI-PMH basicurl|http://recherche.archives.somme.fr/oai_pmh.cgi?verb=Identify|Mémoires de la Somme Archives en ligne||False|
5|True|improved the OAI-PMH interface|http://repository.unimilitar.edu.co/oai/request?verb=Identify|Repositorio Documental UMNG of Universidad Militar Nueva Granada, Colombia|DSpace|False|OpenDOAR
6|False|been migrated to DSpace at National Taiwan Normal Univ|http://dspace.lib.ntnu.edu.tw/oai/request?verb=Identify|National Taiwan Normal University Repository||False|OpenDOAR
7|False|changed the OAI-PMH basicurl|http://www.oceandocs.org/oai/request?verb=Identify|OceanDocs||False|OpenDOAR
8|False|been migrated|http://phka.bsz-bw.de/oai?verb=Identify|OPUS-PHKA, the Publication Server of Karlsruhe University of Education, Germany|Opus 4|False|OpenDOAR
9|False|switched the OAI-PMH basicurl again||Massey Research Online, the institutional repository of Massey Univ, New Zealand|DSpace|False|OpenDOAR
10|False|been migrated|https://opus4.kobv.de/opus4-euv/oai?verb=Identify|Publication Server of Europa-University Viadrina, Germany|Opus 4|False|OpenDOAR
11|False|been migrated|https://opus4.kobv.de/opus4-uni-passau/oai?verb=Identify|Dokumentenserver der Universität Passau of Passau University, Germany|Opus 4|False|OpenDOAR
12|False|changed the OAI-PMH basicurl|https://vtext.valdosta.edu/oai/request?verb=Identify|Vtext Repository of Valdosta State University, US|DSpace|False|OpenDOAR
13|True|improved the OAI-PMH interface|http://anemi.lib.uoc.gr/?verb=Identify|Anemi (Digital Library of Modern Greek Studies) of the University of Crete Library, Greece|Keystone|False|OpenDOAR
14|False|migrated|https://tubdok.tub.tuhh.de/oai/request?verb=Identify|TUBdok, the open access repository of TUHH. Germany|DSpace|True|OpenDOAR
15|True|improved the OAI-PMH interface|http://elocus.lib.uoc.gr/?verb=Identify|E-Locus, the institutional repository of the University of Crete Library, Greece|Keystone|False|OpenDOAR
16|True|improved the OAI-PMH interface|http://archie.kumc.edu/oai/request?verb=Identify|Archie Digital Collections, the repository of University of Kansas Medical Center, US|DSpace|False|OpenDOAR
17|False|changed the OAI-PMH basicurl|http://repository.ipu-japan.ac.jp/oai/Request?verb=Identify|OCEAN IPU Repository of International Pacific University (IPU), Japan||False|OpenDOAR
18|False|changed the OAI-PMH basicurl.|http://publishup.uni-potsdam.de/opus4-ubp/oai?verb=Identify|publish.UP, the publication portal of the University of Potsdam, Germany|Opus4|True|OpenDOAR
19|False|changed the OAI-PMH basicurl|http://e-archivo.uc3m.es/dspace-oai/request?verb=Identify|e-Archivo, the Institutional Repository of Carlos III University of Madrid, Span|DSpace|False|OpenDOAR
20|False|changed the OAI-PMH basicurl|https://repository.unam.na/oai/request?verb=Identify|UNAM Scholarly Repository of University of Namibia|DSpace|False|OpenDOAR
21|False|been migrated|http://repository.lasalle.edu.co/oai/request?verb=Identify|UNISALLE – RIUS, the research repository of Universidad de La Salle, Colombia|DSpace|False|
22|True|improved the OAI-PMH interface|http://gru.openrepository.com/gru/oai/request?verb=Identify|Scholarly Commons, the institutional repository for Georgia Regents University, USA||False|OpenDOAR
23|False|changed the OAI-PMH basicurl|https://dspace.vsb.cz/oai/request?verb=Identify|DSpace VŠB-TUO, the repository of the Technical University of Ostrava|DSpace|False|OpenDOAR
24|False|changed the OAI-PMH basicurl|https://fagarkivet.hioa.no/oai/request?verb=Identify|Fagarkivet HIOA, the repository of Høgskolen i Oslo og Akershus, Norway|DSpace|False|OpenDOAR
25|False|changed the OAI-PMH basicurl|http://wellcomeimages.org/wellcome_oai?verb=Identify|wellcome images, UK,||False|
26|False|improved the OAI-PMH interface|http://e-publications.une.edu.au/fedora/oai?verb=Identify|e-publications@UNE, the institutional research repository of the University of New England, Australia|Fedora|False|OpenDOAR
27|True|improved the OAI-PMH interface|http://digitalcase.case.edu:9000/fedora/oai?verb=Identify|Digital Case, the repository of Case Western Reserve University, USA|Fedora|False|OpenDOAR
28|False|been migrated|https://tspace.library.utoronto.ca/oai/request?verb=Identify|TSpace, the research repository of University of Toronto, Canada|DSpace|False|OpenDOAR
