,value,frequency
0,2,15765
1,1,11749
2,7,2896
3,3,2297
4,5,1703
5,4,1679
6,24,1146
7,15,887
8,16,858
9,14,673
10,17,657
11,18,502
12,21,340
13,13,335
14,6,302
15,19,257
16,22,217
17,10,197
18,8,187
19,20,161
20,12,151
21,11,142
22,23,124
23,466,108
24,33,101
25,9,100
26,37,99
27,480,94
28,29,89
29,450,88
30,25,86
31,41,76
32,463,69
33,45,64
34,503,61
35,487,61
36,40,57
37,53,55
38,496,50
39,447,50
40,42,46
41,230,43
42,469,42
43,27,37
44,36,36
45,55,34
46,303,32
47,410,32
48,86,31
49,26,31
50,32,29
51,464,28
52,57,28
53,60,28
54,39,27
55,248,27
56,46,26
57,28,26
58,44,23
59,30,21
60,49,21
61,69,21
62,96,21
63,452,20
64,476,19
65,54,18
66,38,18
67,48,18
68,95,17
69,100,16
70,191,15
71,52,15
72,306,13
73,58,13
74,143,13
75,118,13
76,193,13
77,355,13
78,56,12
79,465,12
80,716,12
81,68,12
82,332,11
83,146,11
84,127,11
85,51,11
86,64,11
87,242,10
88,147,10
89,31,10
90,50,10
91,264,10
92,108,10
93,43,10
94,234,9
95,199,9
96,93,9
97,358,9
98,74,9
99,157,9
100,213,9
101,144,8
102,81,8
103,250,8
104,467,8
105,150,8
106,298,8
107,87,8
108,347,8
109,472,8
110,325,8
111,70,8
112,65,8
113,67,8
114,61,8
115,66,8
116,63,8
117,353,7
118,411,7
119,125,7
120,310,7
121,446,7
122,47,7
123,409,7
124,59,7
125,1137,7
126,345,7
127,91,7
128,148,7
129,171,7
130,75,7
131,73,7
132,97,6
133,35,6
134,195,6
135,308,6
136,532,6
137,861,6
138,94,6
139,208,6
140,223,6
141,1639,6
142,233,6
143,326,6
144,184,6
145,648,6
146,615,6
147,79,6
148,862,6
149,282,6
150,185,6
151,896,5
152,855,5
153,384,5
154,311,5
155,2198,5
156,1718,5
157,341,5
158,553,5
159,85,5
160,1172,5
161,307,5
162,34,5
163,178,5
164,305,5
165,294,5
166,847,5
167,271,5
168,141,5
169,1804,5
170,268,5
171,424,5
172,808,5
173,287,5
174,1934,5
175,220,5
176,473,5
177,154,5
178,187,5
179,859,5
180,4920,5
181,1865,4
182,237,4
183,1708,4
184,844,4
185,251,4
186,362,4
187,138,4
188,217,4
189,681,4
190,685,4
191,265,4
192,2586,4
193,3839,4
194,296,4
195,955,4
196,455,4
197,359,4
198,422,4
199,470,4
200,149,4
201,47003,4
202,752,4
203,158,4
204,370,4
205,84,4
206,190,4
207,314,4
208,273,4
209,317,4
210,222,4
211,350,4
212,117,4
213,368,4
214,240,4
215,80,4
216,3055,4
217,62,4
218,8241,4
219,206,4
220,78,4
221,505,4
222,6448,4
223,257,4
224,441,4
225,513,4
226,324,4
227,129,4
228,188,4
229,892,4
230,608,4
231,578,4
232,293,4
233,224,4
234,673,4
235,92,4
236,227,4
237,389,4
238,215,4
239,805,4
240,99,4
241,111,3
242,3840,3
243,239,3
244,638,3
245,542,3
246,207,3
247,1570,3
248,478,3
249,1710,3
250,226,3
251,238,3
252,291,3
253,1537,3
254,258,3
255,134,3
256,272,3
257,448,3
258,243,3
259,179,3
260,83,3
261,914,3
262,2707,3
263,160,3
264,402,3
265,4272,3
266,545,3
267,1408,3
268,401,3
269,9115,3
270,700,3
271,254,3
272,912,3
273,1645,3
274,1059,3
275,589,3
276,7662,3
277,197,3
278,723,3
279,425,3
280,361,3
281,297,3
282,124,3
283,101,3
284,133,3
285,50790,3
286,488,3
287,351,3
288,360,3
289,891,3
290,104,3
291,72,3
292,423,3
293,159,3
294,255,3
295,198,3
296,475,3
297,4072,3
298,941,3
299,76,3
300,1315,3
301,5633,3
302,205,3
303,1539,3
304,703,3
305,492,3
306,172,3
307,155,3
308,491,3
309,443,3
310,363,3
311,235,3
312,164,3
313,810,3
314,196,3
315,330,3
316,315,3
317,260,3
318,521,3
319,1498,3
320,214,3
321,661,3
322,3160,3
323,1113,3
324,89,3
325,119,3
326,1591,3
327,733,3
328,277,3
329,765,3
330,2263,3
331,181,3
332,413,3
333,1885,3
334,344,3
335,695,3
336,701,3
337,758,3
338,790,3
339,757,2
340,204,2
341,236,2
342,580,2
343,484,2
344,333,2
345,301,2
346,428,2
347,1431,2
348,292,2
349,1466,2
350,109,2
351,388,2
352,77,2
353,1603,2
354,132,2
355,365,2
356,1005,2
357,60016,2
358,405,2
359,418,2
360,495,2
361,14777,2
362,399,2
363,482,2
364,175,2
365,4237,2
366,6206,2
367,316,2
368,1748,2
369,366,2
370,605,2
371,313,2
372,152,2
373,245,2
374,611,2
375,1581,2
376,675,2
377,415,2
378,917,2
379,811,2
380,3754,2
381,201,2
382,851,2
383,246,2
384,1577,2
385,278,2
386,342,2
387,457,2
388,374,2
389,406,2
390,502,2
391,105,2
