"id","age","protocol","num_lineage_tokens","num_lineage_elements"
700081,"2009-01-01","""FGDC""",944,295
263376,"2015-01-01","""FGDC""",14642,272
350212,"2015-01-01","""FGDC""",8158,123
417860,"2009-01-01","""FGDC""",6887,110
727486,"2008-01-01","""FGDC""",391,109
603345,"2008-01-01","""FGDC""",391,109
673088,"2008-01-01","""FGDC""",391,109
174664,"2005-01-01","""FGDC""",383,109
706222,"2011-01-01","""FGDC""",267,81
402501,"2011-01-01","""FGDC""",276,79
642486,"1996-01-01","""FGDC""",243,58
308777,"1996-01-01","""FGDC""",243,58
446064,"2014-01-01","""FGDC""",1439,57
675588,"2004-01-01","""FGDC""",198,56
196442,"2004-01-01","""FGDC""",176,50
139275,"2004-01-01","""FGDC""",176,50
740084,"2006-01-01","""FGDC""",1569,48
391538,"2004-01-01","""FGDC""",167,48
420757,"2004-01-01","""FGDC""",158,46
281857,"2004-01-01","""FGDC""",158,46
621926,"2004-01-01","""FGDC""",228,46
796975,"2004-01-01","""FGDC""",838,43
758362,"2004-01-01","""FGDC""",148,43
462922,"2004-01-01","""FGDC""",148,43
576896,"2004-01-01","""FGDC""",838,43
437148,"2015-01-01","""FGDC""",677,42
708982,"2004-01-01","""FGDC""",144,42
635387,"2004-01-01","""FGDC""",144,42
661976,"2004-01-01","""FGDC""",139,41
217889,"2004-01-01","""FGDC""",140,41
468785,"1996-01-01","""FGDC""",201,40
211396,"2004-01-01","""FGDC""",135,40
161493,"2011-01-01","""FGDC""",78,39
797059,"2011-01-01","""FGDC""",78,39
615383,"2004-01-01","""FGDC""",126,37
422385,"2015-01-01","""FGDC""",588,34
750939,"2015-01-01","""FGDC""",588,34
226637,"2006-01-01","""FGDC""",1227,33
476021,"2015-01-01","""FGDC""",546,33
531078,"2004-01-01","""FGDC""",132,32
795322,"2014-01-01","""FGDC""",542,31
226482,"2014-01-01","""FGDC""",542,31
341683,"2013-01-01","""FGDC""",434,31
521140,"2015-01-01","""FGDC""",509,30
401513,"2015-01-01","""FGDC""",509,30
395706,"2010-01-01","""FGDC""",2430,29
323631,"2008-01-01","""FGDC""",960,29
737463,"2015-01-01","""FGDC""",460,28
