"id","host","age","protocol","num_lineage_tokens","num_lineage_elements"
700081,"catalog.data.gov","2009-01-01","""FGDC""",944,295
263376,"geology.usgs.gov","2015-01-01","""FGDC""",14642,272
350212,"www.fgdl.org","2015-01-01","""FGDC""",8158,123
417860,"geology.usgs.gov","2009-01-01","""FGDC""",6887,110
727486,"water.usgs.gov","2008-01-01","""FGDC""",391,109
603345,"data.usgs.gov","2008-01-01","""FGDC""",391,109
673088,"catalog.data.gov","2008-01-01","""FGDC""",391,109
174664,"www.idwr.idaho.gov","2005-01-01","""FGDC""",383,109
706222,"www.landscape.blm.gov","2011-01-01","""FGDC""",267,81
402501,"www.landscape.blm.gov","2011-01-01","""FGDC""",276,79
642486,"insideidaho.org","1996-01-01","""FGDC""",243,58
308777,"cloud.insideidaho.org","1996-01-01","""FGDC""",243,58
446064,"water.usgs.gov","2014-01-01","""FGDC""",1439,57
675588,"water.usgs.gov","2004-01-01","""FGDC""",198,56
196442,"water.usgs.gov","2004-01-01","""FGDC""",176,50
139275,"data.usgs.gov","2004-01-01","""FGDC""",176,50
740084,"water.usgs.gov","2006-01-01","""FGDC""",1569,48
391538,"water.usgs.gov","2004-01-01","""FGDC""",167,48
420757,"water.usgs.gov","2004-01-01","""FGDC""",158,46
281857,"data.usgs.gov","2004-01-01","""FGDC""",158,46
621926,"water.usgs.gov","2004-01-01","""FGDC""",228,46
796975,"water.usgs.gov","2004-01-01","""FGDC""",838,43
758362,"data.usgs.gov","2004-01-01","""FGDC""",148,43
462922,"data.usgs.gov","2004-01-01","""FGDC""",148,43
576896,"catalog.data.gov","2004-01-01","""FGDC""",838,43
437148,"catalog.data.gov","2015-01-01","""FGDC""",677,42
708982,"data.usgs.gov","2004-01-01","""FGDC""",144,42
635387,"water.usgs.gov","2004-01-01","""FGDC""",144,42
661976,"water.usgs.gov","2004-01-01","""FGDC""",139,41
217889,"water.usgs.gov","2004-01-01","""FGDC""",140,41
468785,"www.insideidaho.org","1996-01-01","""FGDC""",201,40
211396,"water.usgs.gov","2004-01-01","""FGDC""",135,40
161493,"rmgsc.cr.usgs.gov","2011-01-01","""FGDC""",78,39
797059,"rmgsc.cr.usgs.gov","2011-01-01","""FGDC""",78,39
615383,"water.usgs.gov","2004-01-01","""FGDC""",126,37
422385,"data.ioos.us","2015-01-01","""FGDC""",588,34
750939,"data.ioos.us","2015-01-01","""FGDC""",588,34
226637,"pubs.usgs.gov","2006-01-01","""FGDC""",1227,33
476021,"data.ioos.us","2015-01-01","""FGDC""",546,33
531078,"water.usgs.gov","2004-01-01","""FGDC""",132,32
795322,"catalog.data.gov","2014-01-01","""FGDC""",542,31
226482,"catalog.data.gov","2014-01-01","""FGDC""",542,31
341683,"catalog.data.gov","2013-01-01","""FGDC""",434,31
521140,"data.ioos.us","2015-01-01","""FGDC""",509,30
401513,"data.ioos.us","2015-01-01","""FGDC""",509,30
395706,"catalog.data.gov","2010-01-01","""FGDC""",2430,29
323631,"catalog.data.gov","2008-01-01","""FGDC""",960,29
737463,"data.ioos.us","2015-01-01","""FGDC""",460,28
380260,"www.fgdl.org","2015-01-01","""FGDC""",1281,27
625252,"water.usgs.gov","2004-01-01","""FGDC""",112,27
309894,"pubs.usgs.gov","2004-01-01","""FGDC""",4408,27
503232,"water.usgs.gov","2004-01-01","""FGDC""",99,27
781832,"data.usgs.gov","2004-01-01","""FGDC""",90,26
599143,"water.usgs.gov","2004-01-01","""FGDC""",90,26
299418,"water.usgs.gov","2004-01-01","""FGDC""",113,26
679707,"catalog.data.gov","2013-01-01","""FGDC""",1915,25
736911,"data.usgs.gov","2011-01-01","""FGDC""",1755,25
578898,"catalog.data.gov","2011-01-01","""FGDC""",2416,25
429698,"data.usgs.gov","2011-01-01","""FGDC""",1758,25
491083,"catalog.data.gov","2013-01-01","""FGDC""",1915,25
380500,"catalog.data.gov","2010-01-01","""FGDC""",1922,25
179936,"catalog.data.gov","2010-01-01","""FGDC""",1922,25
809584,"catalog.data.gov","2010-01-01","""FGDC""",2091,25
305819,"cloud.insideidaho.org","1996-01-01","""FGDC""",142,24
406211,"www.insideidaho.org","1996-01-01","""FGDC""",140,24
