"id","age","min","num_lineage_tokens","num_lineage_elements","num_quality_tokens","num_quality_elements"
137653,"2014-03-01","""ISO""",121,1,,0
137661,"2012-09-01","""ISO""",,0,,0
137672,"","""ISO""",1,1,,0
137682,"","""ISO""",,0,,0
137687,"2011-07-01","""FGDC""",150,2,242,2
137688,"2015-08-01","""ISO""",18,1,,0
137692,"2008-04-01","""ISO""",,0,,0
137719,"2015-08-01","""ISO""",6,1,,0
137746,"2015-08-01","""FGDC""",120,12,12,12
137754,"","""ISO""",66,1,,0
137755,"2015-02-01","""FGDC""",1510,15,438,15
137759,"2015-10-01","""FGDC""",2905,5,158,5
137775,"2014-08-01","""ISO""",121,1,,0
137831,"2014-10-01","""ISO""",551,1,,0
137840,"","""ISO""",,0,,0
137850,"2011-09-01","""ISO""",,0,16,2
137863,"2012-10-01","""FGDC""",,0,,0
137903,"2012-09-01","""ISO""",,0,,0
137919,"2015-08-01","""ISO""",36,1,,0
137920,"2005-05-01","""FGDC""",478,7,,0
137922,"2010-04-01","""FGDC""",324,20,775,20
137948,"2014-07-01","""ISO""",,0,,0
137971,"2014-07-01","""ISO""",,0,,0
137979,"","""ISO""",,0,,0
137981,"2006-05-01","""ISO""",,0,6,2
137986,"2013-06-01","""ISO""",41,1,22,1
138001,"2014-06-01","""ISO""",41,1,22,1
138014,"2013-06-01","""ISO""",41,1,22,1
138037,"2015-01-01","""FGDC""",84,4,58,4
138051,"2015-10-01","""FGDC""",5,5,5,5
138069,"2012-09-01","""FGDC""",,0,,0
138077,"2011-07-01","""FGDC""",146,2,256,2
138097,"2013-01-01","""ISO""",,0,50,2
138101,"2010-09-01","""FGDC""",1887,3,167,3
138119,"","""ISO""",29,1,,0
138142,"2012-09-01","""ISO""",,0,,0
138169,"2010-03-01","""FGDC""",620,10,150,10
138170,"1984-09-01","""FGDC""",1887,3,167,3
138177,"2011-10-01","""FGDC""",183,3,12,3
138181,"2014-07-01","""FGDC""",2135,10,278,10
138182,"2015-10-01","""FGDC""",,0,,0
138191,"2014-01-01","""FGDC""",,0,,0
138195,"2013-02-01","""ISO""",,0,142,2
138206,"2015-08-01","""ISO""",6,1,,0
138231,"","""ISO""",30,1,,0
138260,"2015-05-01","""ISO""",,0,1,1
138264,"2012-11-01","""FGDC""",,0,,0
138280,"2015-08-01","""FGDC""",135,3,119,3
138296,"2014-12-01","""FGDC""",935,10,758,10
138302,"2004-11-01","""FGDC""",168,12,210,12
138307,"2014-07-01","""FGDC""",1818,2,63,2
138317,"","""ISO""",,0,,0
138325,"2012-09-01","""ISO""",,0,,0
138394,"2014-05-01","""ISO""",54,1,,0
138401,"2014-06-01","""ISO""",41,1,22,1
138440,"","""ISO""",,0,,0
138463,"","""ISO""",,0,,0
138484,"2007-04-01","""ISO""",,0,134,2
138499,"2012-09-01","""ISO""",,0,,0
138508,"","""ISO""",,0,,0
138510,"2011-07-01","""FGDC""",146,2,256,2
138517,"2008-04-01","""ISO""",,0,,0
138519,"2015-08-01","""ISO""",16,1,,0
138525,"2013-06-01","""ISO""",41,1,22,1
138577,"2015-08-01","""FGDC""",60,8,8,8
138580,"2014-10-01","""ISO""",,0,,0
138592,"2012-09-01","""ISO""",,0,,0
138602,"2015-08-01","""ISO""",7,1,,0
138615,"2015-10-01","""FGDC""",2905,5,158,5
138633,"2012-09-01","""FGDC""",,0,,0
138641,"2014-01-01","""FGDC""",,0,,0
138665,"2009-05-01","""FGDC""",7020,92,14099,92
138680,"2005-11-01","""FGDC""",267,9,48,9
138742,"2013-11-01","""FGDC""",564,4,167,4
138745,"2013-07-01","""FGDC""",5790,10,142,10
138749,"","""ISO""",,0,,0
138752,"2015-09-01","""FGDC""",16,12,12,12
138759,"2015-07-01","""FGDC""",12,8,8,8
138814,"","""ISO""",,0,,0
138846,"2014-12-01","""ISO""",36,1,,0
138866,"2014-12-01","""ISO""",,0,158,2
138886,"2013-04-01","""ISO""",,0,,0
138895,"2008-09-01","""ISO""",,0,342,2
138906,"2014-05-01","""ISO""",59,1,,0
138931,"2007-05-01","""ISO""",,0,78,2
138950,"2013-09-01","""ISO""",,0,16,2
138960,"","""ISO""",1,1,,0
138996,"2014-05-01","""ISO""",15,1,,0
138998,"2011-07-01","""FGDC""",610,10,414,10
139004,"2003-10-01","""FGDC""",1265,5,98,5
139055,"2012-12-01","""ISO""",,0,442,2
139075,"2015-10-01","""FGDC""",2905,5,158,5
139078,"2014-08-01","""ISO""",121,1,,0
139084,"2008-03-01","""ISO""",,0,342,2
139093,"2012-12-01","""FGDC""",788,4,127,4
139106,"2012-06-01","""ISO""",,0,,0
139111,"2005-03-01","""FGDC""",2,1,,0
139121,"2005-01-01","""FGDC""",205,5,38,5
139172,"2013-12-01","""FGDC""",92,2,22,2
139180,"2007-07-01","""FGDC""",792,6,206,6
139188,"2015-10-01","""FGDC""",1887,3,167,3
139207,"2008-09-01","""FGDC""",620,10,348,10
139218,"2014-03-01","""ISO""",121,1,,0
139223,"2015-09-01","""FGDC""",420,16,332,16
139235,"2012-01-01","""FGDC""",1175,5,21,5
139265,"2012-01-01","""FGDC""",2892,8,1508,8
139266,"","""ISO""",29,1,,0
139267,"2013-03-01","""FGDC""",1480,20,235,20
139275,"2004-11-01","""FGDC""",1232,350,8950,350
139280,"","""ISO""",233,1,,0
139290,"1977-11-01","""FGDC""",1887,3,167,3
139292,"2015-09-01","""FGDC""",420,16,332,16
139306,"2008-06-01","""FGDC""",4210,6,30,6
139326,"2012-08-01","""FGDC""",1887,3,167,3
139327,"2005-10-01","""ISO""",,0,,0
139330,"1994-11-01","""FGDC""",1887,3,167,3
139344,"2014-05-01","""FGDC""",156,4,10,4
139353,"2006-05-01","""FGDC""",60,4,26,4
139362,"2005-08-01","""FGDC""",,0,,0
139364,"2013-03-01","""FGDC""",100,2,168,2
139366,"2014-03-01","""ISO""",121,1,,0
139382,"2015-02-01","""FGDC""",115,5,82,5
139383,"","""ISO""",1,1,,0
139404,"2015-01-01","""FGDC""",,0,,0
139411,"2012-03-01","""FGDC""",2097,3,167,3
139433,"","""ISO""",,0,,0
139443,"1988-12-01","""FGDC""",1887,3,167,3
139471,"2012-05-01","""FGDC""",7215,20,3096,20
139482,"","""ISO""",35,1,,0
139491,"2011-09-01","""ISO""",,0,190,2
139505,"2012-03-01","""ISO""",,0,80,2
139524,"2012-10-01","""ISO""",,0,28,2
139530,"2014-12-01","""FGDC""",935,10,842,10
139538,"2009-05-01","""FGDC""",48,2,17,2
139540,"1998-10-01","""FGDC""",1887,3,167,3
139556,"2012-03-01","""FGDC""",560,5,21,5
139588,"2012-12-01","""FGDC""",1887,3,167,3
139592,"2014-10-01","""ISO""",5,1,,0
139599,"2014-12-01","""FGDC""",345,10,580,10
139610,"2010-11-01","""FGDC""",400,2,41,2
139616,"2010-07-01","""FGDC""",1887,3,167,3
139638,"2015-06-01","""FGDC""",24,4,4,4
139696,"2014-02-01","""ISO""",,0,2,2
139709,"1998-07-01","""ISO""",,0,,0
139711,"2015-08-01","""ISO""",6,1,,0
139720,"2015-10-01","""FGDC""",2905,5,158,5
139744,"2011-12-01","""FGDC""",2115,3,167,3
