"id","age","protocol","num_lineage_tokens","num_lineage_elements"
320886,"2015-04-01","""ISO""",212,42
699513,"2015-04-01","""ISO""",212,42
776890,"2015-04-01","""ISO""",212,42
796759,"2013-01-01","""ISO""",212,42
361969,"2013-08-01","""ISO""",328,12
289179,"2014-02-01","""ISO""",66,8
495147,"2015-09-01","""ISO""",612,7
297734,"2014-06-01","""ISO""",1237,6
296179,"2015-09-01","""ISO""",1237,6
166651,"2014-06-01","""ISO""",1237,6
412447,"","""ISO""",28,6
463805,"2014-06-01","""ISO""",1237,6
309898,"2015-06-01","""ISO""",352,5
750512,"2015-04-01","""ISO""",1390,5
276428,"2015-09-01","""ISO""",378,5
740477,"","""ISO""",144,5
406554,"","""ISO""",308,5
566511,"2015-08-01","""ISO""",348,5
271144,"","""ISO""",308,5
509467,"","""ISO""",144,5
534915,"2014-06-01","""ISO""",378,5
645183,"2015-08-01","""ISO""",105,4
302283,"2015-08-01","""ISO""",105,4
798590,"2014-10-01","""ISO""",238,4
669178,"2015-08-01","""ISO""",105,4
639008,"2015-08-01","""ISO""",105,4
674476,"2015-08-01","""ISO""",121,4
346830,"2015-08-01","""ISO""",121,4
336411,"2015-08-01","""ISO""",105,4
543469,"2015-08-01","""ISO""",121,4
335375,"2015-09-01","""ISO""",121,4
753344,"2015-08-01","""ISO""",121,4
147332,"2015-09-01","""ISO""",105,4
496235,"","""ISO""",120,4
209692,"2015-09-01","""ISO""",105,4
716191,"2015-08-01","""ISO""",105,4
652980,"2015-08-01","""ISO""",121,4
497254,"2015-08-01","""ISO""",121,4
380739,"2015-08-01","""ISO""",121,4
204224,"2015-09-01","""ISO""",105,4
389794,"2015-09-01","""ISO""",105,4
632679,"2015-07-01","""ISO""",1004,4
228667,"","""ISO""",120,4
275001,"2015-08-01","""ISO""",121,4
490611,"2015-08-01","""ISO""",121,4
140910,"2015-09-01","""ISO""",121,4
411786,"","""ISO""",241,4
706771,"2015-09-01","""ISO""",105,4
