"id","host","age","protocol","num_lineage_tokens","num_lineage_elements"
776890,"data.noaa.gov","2015-04-01","""ISO""",212,42
320886,"www.coris.noaa.gov","2015-04-01","""ISO""",212,42
699513,"www.coris.noaa.gov","2015-04-01","""ISO""",212,42
796759,"data.noaa.gov","2013-01-01","""ISO""",212,42
361969,"www.deq.state.va.us","2013-08-01","""ISO""",328,12
289179,"www.usgs.gov","2014-02-01","""ISO""",66,8
495147,"gstore.unm.edu","2015-09-01","""ISO""",612,7
166651,"catalog.data.gov","2014-06-01","""ISO""",1237,6
297734,"catalog.data.gov","2014-06-01","""ISO""",1237,6
463805,"catalog.data.gov","2014-06-01","""ISO""",1237,6
296179,"gstore.unm.edu","2015-09-01","""ISO""",1237,6
412447,"inport.nmfs.noaa.gov","","""ISO""",28,6
740477,"inport.nmfs.noaa.gov","","""ISO""",144,5
509467,"data.noaa.gov","","""ISO""",144,5
566511,"gstore.unm.edu","2015-08-01","""ISO""",348,5
534915,"catalog.data.gov","2014-06-01","""ISO""",378,5
276428,"gstore.unm.edu","2015-09-01","""ISO""",378,5
750512,"sero.nmfs.noaa.gov","2015-04-01","""ISO""",1390,5
271144,"catalog.data.gov","","""ISO""",308,5
309898,"www.ngdc.noaa.gov","2015-06-01","""ISO""",352,5
406554,"catalog.data.gov","","""ISO""",308,5
815345,"gstore.unm.edu","2015-08-01","""ISO""",121,4
380739,"gstore.unm.edu","2015-08-01","""ISO""",121,4
490611,"gstore.unm.edu","2015-08-01","""ISO""",121,4
228667,"inport.nmfs.noaa.gov","","""ISO""",120,4
582254,"gstore.unm.edu","2015-08-01","""ISO""",105,4
317426,"gstore.unm.edu","2015-08-01","""ISO""",105,4
547565,"gstore.unm.edu","2015-08-01","""ISO""",105,4
275001,"gstore.unm.edu","2015-08-01","""ISO""",121,4
273051,"gstore.unm.edu","2015-08-01","""ISO""",105,4
558690,"inport.nmfs.noaa.gov","","""ISO""",285,4
632521,"gstore.unm.edu","2015-08-01","""ISO""",105,4
695554,"gstore.unm.edu","2015-08-01","""ISO""",105,4
335375,"gstore.unm.edu","2015-09-01","""ISO""",121,4
753344,"gstore.unm.edu","2015-08-01","""ISO""",121,4
652980,"gstore.unm.edu","2015-08-01","""ISO""",121,4
645183,"gstore.unm.edu","2015-08-01","""ISO""",105,4
174021,"gstore.unm.edu","2015-08-01","""ISO""",105,4
686390,"gstore.unm.edu","2015-08-01","""ISO""",105,4
389794,"gstore.unm.edu","2015-09-01","""ISO""",105,4
716191,"gstore.unm.edu","2015-08-01","""ISO""",105,4
568350,"catalog.data.gov","","""ISO""",143,4
410734,"gstore.unm.edu","2015-08-01","""ISO""",105,4
537024,"gstore.unm.edu","2015-08-01","""ISO""",105,4
560812,"gstore.unm.edu","2015-08-01","""ISO""",105,4
660258,"gstore.unm.edu","2015-08-01","""ISO""",105,4
742712,"gstore.unm.edu","2015-09-01","""ISO""",105,4
736234,"gstore.unm.edu","2015-08-01","""ISO""",121,4
478368,"gstore.unm.edu","2015-08-01","""ISO""",121,4
497254,"gstore.unm.edu","2015-08-01","""ISO""",121,4
543469,"gstore.unm.edu","2015-08-01","""ISO""",121,4
140910,"gstore.unm.edu","2015-09-01","""ISO""",121,4
649598,"catalog.data.gov","2014-06-01","""ISO""",1222,4
798590,"sero.nmfs.noaa.gov","2014-10-01","""ISO""",238,4
147332,"gstore.unm.edu","2015-09-01","""ISO""",105,4
395651,"gstore.unm.edu","2015-08-01","""ISO""",105,4
632679,"www.coris.noaa.gov","2015-07-01","""ISO""",1004,4
518048,"gstore.unm.edu","2015-09-01","""ISO""",1222,4
485678,"gstore.unm.edu","2015-09-01","""ISO""",121,4
787907,"gstore.unm.edu","2015-08-01","""ISO""",121,4
738495,"gstore.unm.edu","2015-09-01","""ISO""",105,4
536207,"gstore.unm.edu","2015-08-01","""ISO""",105,4
706771,"gstore.unm.edu","2015-09-01","""ISO""",105,4
521915,"gstore.unm.edu","2015-08-01","""ISO""",121,4
176042,"gstore.unm.edu","2015-08-01","""ISO""",105,4
753775,"gstore.unm.edu","2015-08-01","""ISO""",105,4
389284,"gstore.unm.edu","2015-09-01","""ISO""",105,4
674476,"gstore.unm.edu","2015-08-01","""ISO""",121,4
411786,"inport.nmfs.noaa.gov","","""ISO""",241,4
570423,"gstore.unm.edu","2015-09-01","""ISO""",105,4
669178,"gstore.unm.edu","2015-08-01","""ISO""",105,4
721648,"gstore.unm.edu","2015-08-01","""ISO""",121,4
700658,"data.noaa.gov","","""ISO""",241,4
699263,"gstore.unm.edu","2015-08-01","""ISO""",105,4
204224,"gstore.unm.edu","2015-09-01","""ISO""",105,4
586070,"gstore.unm.edu","2015-08-01","""ISO""",105,4
346830,"gstore.unm.edu","2015-08-01","""ISO""",121,4
159125,"data.noaa.gov","","""ISO""",285,4
706488,"gstore.unm.edu","2015-08-01","""ISO""",105,4
606658,"gstore.unm.edu","2015-08-01","""ISO""",121,4
302283,"gstore.unm.edu","2015-08-01","""ISO""",105,4
741787,"gstore.unm.edu","2015-08-01","""ISO""",105,4
216566,"gstore.unm.edu","2015-08-01","""ISO""",105,4
677342,"catalog.data.gov","2014-06-01","""ISO""",105,4
432992,"gstore.unm.edu","2015-08-01","""ISO""",105,4
271380,"gstore.unm.edu","2015-08-01","""ISO""",121,4
336411,"gstore.unm.edu","2015-08-01","""ISO""",105,4
241843,"gstore.unm.edu","2015-08-01","""ISO""",105,4
639008,"gstore.unm.edu","2015-08-01","""ISO""",105,4
251515,"www.ngdc.noaa.gov","2015-06-01","""ISO""",74,4
502892,"gstore.unm.edu","2015-09-01","""ISO""",105,4
496235,"data.noaa.gov","","""ISO""",120,4
633460,"gstore.unm.edu","2015-08-01","""ISO""",121,4
272462,"www.coris.noaa.gov","2015-07-01","""ISO""",1004,4
224424,"gstore.unm.edu","2015-09-01","""ISO""",105,4
539287,"sero.nmfs.noaa.gov","2014-10-01","""ISO""",232,4
209692,"gstore.unm.edu","2015-09-01","""ISO""",105,4
645767,"gstore.unm.edu","2015-08-01","""ISO""",121,4
671155,"gstore.unm.edu","2015-09-01","""ISO""",121,4
346581,"www.ngdc.noaa.gov","2014-08-01","""ISO""",38,3
168961,"catalog.data.gov","","""ISO""",575,3
177239,"catalog.data.gov","2014-08-01","""ISO""",38,3
631941,"catalog.data.gov","","""ISO""",107,3
645511,"catalog.data.gov","","""ISO""",107,3
606674,"www.coris.noaa.gov","2014-09-01","""ISO""",573,3
624036,"catalog.data.gov","","""ISO""",575,3
723337,"www.coris.noaa.gov","2014-09-01","""ISO""",331,3
507760,"catalog.data.gov","2015-06-01","""ISO""",42,3
783432,"www.geoviqua.org","2011-08-01","""ISO""",17,3
590404,"www.coris.noaa.gov","2014-09-01","""ISO""",573,3
163740,"www.coris.noaa.gov","2014-09-01","""ISO""",330,3
282675,"sero.nmfs.noaa.gov","2014-06-01","""ISO""",623,3
187533,"gstore.unm.edu","2015-08-01","""ISO""",21,3
438302,"sero.nmfs.noaa.gov","2014-06-01","""ISO""",623,3
488470,"www.ngdc.noaa.gov","2014-08-01","""ISO""",38,3
193768,"www.ngdc.noaa.gov","2014-08-01","""ISO""",33,3
548757,"sero.nmfs.noaa.gov","2014-06-01","""ISO""",623,3
155233,"data.noaa.gov","2014-07-01","""ISO""",28,3
629628,"www.ngdc.noaa.gov","2012-09-01","""ISO""",32,3
564839,"catalog.data.gov","","""ISO""",575,3
684180,"www.ngdc.noaa.gov","2014-08-01","""ISO""",38,3
356365,"www.geoviqua.org","2011-08-01","""ISO""",17,3
372961,"www.coris.noaa.gov","2014-09-01","""ISO""",591,3
318894,"gstore.unm.edu","2015-09-01","""ISO""",69,3
792547,"www.coris.noaa.gov","2014-09-01","""ISO""",330,3
