Version|Count
ANZLIC Metadata Profile: An Australian/New Zealand Profile of AS/NZS ISO 19115:2005, Geographic information - Metadata; 1.1|124
DM - Regole tecniche RNDT; 10 novembre 2011|2
GEMINI; 2.1|25
Gemini; 2.1|1
INSPIRE Implementing Rules for Metadata; 1.2|36
ISO 19115 (UK GEMINI); 1.0 (2.2)|318
ISO 19115 Geographic Information - Metadata; 2009-02-15|2516
ISO 19115 Geographic Information - Metadata; ISO 19115|333
ISO 19115 Geographic information - Metadata - Converted from Data.gov legacy DMS format.; ISO 19115:2003(E)|86
ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)|208
ISO 19115 Geographic information Metadata; WISE Metadata profile; 2003/Cor.1:2006|1
ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data with Biological Extensions; ISO 19115-2:2009(E)|3
ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; 2007|3
ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)|6666
ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2013(E)|1
ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)|1074
ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)|1503
ISO 19115-2 Geographic Information - North American Profile Metadata - Data with Biological Extensions; ISO 19115-2:2009(E)|96
ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data between June 8, 2011 and July 28, 2011; ISO 19115-2:2009(E)|4
ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009|25
ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)|136
ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for imagery and gridded data; ISO 19115-2:2009-02-15|16
ISO 19115-2 Geographic information -- Metadata -- Part 2: Extensions for imagery and gridded data; ISO 19115-2:2009-02-15|5
ISO 19115-2 Geographic information Metadata Part 2: Extensions for imagery and gridded data; ISO 19115-2:2009-02-15|6
ISO 19115-2; ISO 19115-2:2009(E)|2
ISO 19115/19139; 2003/cor1:2006|19
ISO 19115/2003/Cor.1:2006; GDI-Vlaanderen Best Practices - versie 1.0|2
ISO 19115/SeaDataNet profile; 1.0|3
ISO 19115:2003 (GDI-BW); 1.2|46
ISO 19115:2003 - Geographic information - Metadata; ISO 19115:2003|32
ISO 19115:2003/19139; 1.0|92
ISO 19115; 2003|1179
ISO 19115; ISO 19139 / DKRZ ISO Simple Profile V1.0|52
ISO 19115; Nederlandse metadata profiel op ISO 19115 voor geografie 1.2|6
ISO 19119; 2005|3
ISO 19139 Geographic Information - Metadata - Implementation Specification; 2007|45
ISO 19139/19115 Metadata for Datasets; 2003|5
ISO 19139/19119 Metadata for Web Services; 2005|399
ISO-NAP-USGIN; 1.1|1
ISO-NAP-USGIN; 1.1.4|1146
ISO-USGIN; 1.2|5956
ISO19115; 1.0|1
ISO19115; 2003/Cor.1:2006|1474
ISO19119; 2005/PDAM 1|3
MEDIN Discovery Metadata Standard; 2.3.2|2
MEDIN Discovery Metadata Standard; Version 2.3|1
MEDIN Discovery Metadata Standard; Version 2.3.5|411
MEDIN Discovery Metadata Standard; Version 2.3.7|1
MEDIN Discovery metadata standard; 2.3.4|64
MEDIN Discovery metadata standard; 2.3.7|1
MEDIN Discovery metadata standard; 2.3.8|24
NAP - Metadata; 1.2|2
NERC profile of ISO19115:2003; 1.0|343
NERC profile of ISO19115:2003; 2003(E)|1
NERC profile of ISO:19115:2003; 1.0|1
North American Profile of ISO 19115 Geographic Information Metadata; Enviroment Canada - Version 1|3
North American Profile of ISO 19115:2003 - Geographic information - Metadata; CAN/CGSB-171.100-2009|2
North American Profile of ISO19115:2003 - Geographic information - Metadata; CAN/CGSB-171.100-2009|3
UK GEMINI; 2.1|1
UK GEMINI; 2.2|836
WMO Core Metadata Profile; 1.0 (draft)|21
