"status","count","initial_harvest_date"
200,41,"2014-07-17"
301,1,"2014-07-17"
302,1,"2014-07-17"
404,2,"2014-07-17"
999,5,"2014-07-17"
200,21,"2014-07-29"
301,1,"2014-07-29"
302,2,"2014-07-29"
403,3,"2014-07-29"
200,30,"2014-07-30"
302,2,"2014-07-30"
403,1,"2014-07-30"
404,2,"2014-07-30"
999,1,"2014-07-30"
200,12,"2014-07-31"
302,2,"2014-07-31"
999,3,"2014-07-31"
200,5,"2014-10-27"
301,13,"2014-10-27"
403,1,"2014-10-27"
503,1,"2014-10-27"
200,102,"2014-10-28"
301,37,"2014-10-28"
302,9,"2014-10-28"
303,1,"2014-10-28"
404,8,"2014-10-28"
524,1,"2014-10-28"
999,2,"2014-10-28"
200,58,"2014-10-29"
301,2,"2014-10-29"
302,3,"2014-10-29"
404,6,"2014-10-29"
405,1,"2014-10-29"
999,4,"2014-10-29"
200,332,"2014-10-30"
301,17,"2014-10-30"
302,6,"2014-10-30"
303,16,"2014-10-30"
403,13,"2014-10-30"
404,11,"2014-10-30"
405,1,"2014-10-30"
500,24,"2014-10-30"
999,40,"2014-10-30"
200,9,"2015-03-04"
301,1,"2015-03-04"
999,1,"2015-03-04"
200,6,"2015-03-06"
200,54,"2015-03-12"
301,4,"2015-03-12"
302,7,"2015-03-12"
403,8,"2015-03-12"
404,23,"2015-03-12"
406,2,"2015-03-12"
500,6,"2015-03-12"
999,12,"2015-03-12"
200,11,"2015-03-13"
301,2,"2015-03-13"
403,5,"2015-03-13"
500,1,"2015-03-13"
200,3,"2015-03-15"
403,3,"2015-03-15"
404,7,"2015-03-15"
999,1,"2015-03-15"
200,67,"2015-03-18"
301,1,"2015-03-18"
302,1,"2015-03-18"
404,1,"2015-03-18"
200,37,"2015-03-19"
301,5,"2015-03-19"
302,2,"2015-03-19"
404,2,"2015-03-19"
500,1,"2015-03-19"
999,3,"2015-03-19"
200,43,"2015-03-20"
301,2,"2015-03-20"
302,5,"2015-03-20"
404,3,"2015-03-20"
500,20,"2015-03-20"
999,3,"2015-03-20"
200,28,"2015-06-16"
302,1,"2015-06-16"
403,1,"2015-06-16"
999,3,"2015-06-16"
200,23,"2015-06-18"
500,1,"2015-06-18"
999,2,"2015-06-18"
200,2,"2015-06-19"
200,5,"2015-06-20"
301,1,"2015-06-20"
200,4,"2015-06-22"
302,1,"2015-06-22"
200,17,"2015-06-23"
302,1,"2015-06-23"
404,1,"2015-06-23"
500,2,"2015-06-23"
999,1,"2015-06-23"
200,69,"2015-06-24"
500,11,"2015-06-24"
999,1,"2015-06-24"
200,103,"2015-06-25"
301,1,"2015-06-25"
302,1,"2015-06-25"
303,1,"2015-06-25"
500,14,"2015-06-25"
999,2,"2015-06-25"
200,95,"2015-06-26"
302,1,"2015-06-26"
404,2,"2015-06-26"
500,10,"2015-06-26"
999,7,"2015-06-26"
200,109,"2015-06-27"
301,2,"2015-06-27"
500,17,"2015-06-27"
999,1,"2015-06-27"
200,74,"2015-06-28"
301,1,"2015-06-28"
302,1,"2015-06-28"
500,9,"2015-06-28"
999,3,"2015-06-28"
200,9,"2015-06-29"
500,3,"2015-06-29"
999,1,"2015-06-29"
200,16,"2015-07-01"
301,1,"2015-07-01"
404,1,"2015-07-01"
500,3,"2015-07-01"
200,50,"2015-07-02"
500,13,"2015-07-02"
999,2,"2015-07-02"
200,40,"2015-07-03"
301,1,"2015-07-03"
302,1,"2015-07-03"
303,1,"2015-07-03"
404,1,"2015-07-03"
500,8,"2015-07-03"
999,2,"2015-07-03"
200,83,"2015-07-04"
500,12,"2015-07-04"
999,3,"2015-07-04"
200,112,"2015-07-05"
500,21,"2015-07-05"
503,1,"2015-07-05"
999,6,"2015-07-05"
200,50,"2015-07-06"
400,1,"2015-07-06"
500,14,"2015-07-06"
999,1,"2015-07-06"
200,3,"2015-07-07"
200,24,"2015-07-08"
301,1,"2015-07-08"
403,1,"2015-07-08"
404,2,"2015-07-08"
999,1,"2015-07-08"
200,44,"2015-07-09"
301,1,"2015-07-09"
302,1,"2015-07-09"
303,1,"2015-07-09"
404,1,"2015-07-09"
500,1,"2015-07-09"
503,1,"2015-07-09"
999,4,"2015-07-09"
200,101,"2015-07-10"
302,1,"2015-07-10"
