"codelist";"codelist_value";"count"
"./resources/codeList.xml#CI_RoleCode";"distributor";4
"./resources/codeList.xml#CI_RoleCode";"originator";2
"./resources/codeList.xml#CI_RoleCode";"pointOfContact";66
"./resources/codeList.xml#CI_RoleCode";"publisher";23
"CI_RoleCode";"pointOfContact";4
"file://Agi-s000001/afdelingen/GSMS/Extern/Applicaties_en_Tools/Databeheer/Metadata/GeoMDE_22/resources/customCodelists_new.xml#CI_RoleCode";"distributor";4
"file://Agi-s000001/afdelingen/GSMS/Extern/Applicaties_en_Tools/Databeheer/Metadata/GeoMDE_22/resources/customCodelists_new.xml#CI_RoleCode";"originator";4
"file://Agi-s000001/afdelingen/GSMS/Extern/Applicaties_en_Tools/Databeheer/Metadata/GeoMDE_22/resources/customCodelists_new.xml#CI_RoleCode";"owner";4
"file://Agi-s000001/afdelingen/GSMS/Extern/Applicaties_en_Tools/Databeheer/Metadata/GeoMDE_22/resources/customCodelists_new.xml#CI_RoleCode";"pointOfContact";4
"file://Shr-ipvw-gpr001/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode";"distributor";1
"file://Shr-ipvw-gpr001/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode";"owner";1
"file://Shr-ipvw-gpr001/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode";"pointOfContact";1
"file://Shr-ipvw-gpr001/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode";"resourceProvider";1
"file://Shr-ipvw-gpr001/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode";"user";1
"file://appconf.intranet.rws.nl/Appconf/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode";"Partij die de data verstrekt";1
"file://appconf.intranet.rws.nl/Appconf/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode";"Partij die eigenaar is van de data";1
"file://appconf.intranet.rws.nl/Appconf/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode";"Partij waarmee contact kan worden opgenomen voor het vergaren van kennis of verstrekking van de data";1
"http://adl.brs.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"custodian";8
