"xpath";"codelist_value";"count"
"DS_Series/composedOf/DS_DataSet/has/MD_Metadata/contact";"owner";4727
"DS_Series/seriesMetadata/MD_Metadata/contact";"publisher";111
"DS_Series/seriesMetadata/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"owner";111
"DS_Series/seriesMetadata/MI_Metadata/contact";"pointOfContact";25
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty";"originator";25
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty";"resourceProvider";25
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"distributor";25
"GetRecordByIdResponse/MD_Metadata/contact";"pointOfContact";129
"GetRecordByIdResponse/MD_Metadata/distributionInfo/MD_Distribution/distributor/MD_Distributor/distributorContact";"distributor";101
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty";"author";217
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty";"publisher";48
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/citedResponsibleParty";"owner";91
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"custodian";91
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"owner";93
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"resourceProvider";4
"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"author";3
"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"publisher";1
"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/citedResponsibleParty";"owner";10
"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/pointOfContact";"custodian";10
"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/pointOfContact";"owner";10
"GetRecordsResponse/SearchResults/MD_Metadata/contact";"pointOfContact";20
"GetRecordsResponse/SearchResults/MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LI_ProcessStep/processor";"processor";46
"GetRecordsResponse/SearchResults/MD_Metadata/distributionInfo/MD_Distribution/distributor/MD_Distributor/distributorContact";"distributor";25
"GetRecordsResponse/SearchResults/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"custodian";24
"GetRecordsResponse/SearchResults/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"originator";18
