"host","codelist_value","count"
"216.109.20.7","distributor",4
"216.109.20.7","originator",2
"216.109.20.7","pointOfContact",2
"54.153.196.172","pointOfContact",1
"arcticlcc.org","author",2
"arcticlcc.org","collaborator",6
"arcticlcc.org","dataDistributor",1
"arcticlcc.org","distributor",2
"arcticlcc.org","funder",6
"arcticlcc.org","originator",4
"arcticlcc.org","owner",2
"arcticlcc.org","pointOfContact",3
"arcticlcc.org","principalInvestigator",2
"arcticlcc.org","publisher",1
"bluehub.jrc.ec.europa.eu","contributor",72
"bluehub.jrc.ec.europa.eu","distributor",136
"bluehub.jrc.ec.europa.eu","originator",541
"bluehub.jrc.ec.europa.eu","pointOfContact",272
"c3grid1.dkrz.de:8080","author",810
"c3grid1.dkrz.de:8080","originator",62
"c3grid1.dkrz.de:8080","pointOfContact",578
"c3grid1.dkrz.de:8080","principalInvestigator",88
"ca.water.usgs.gov","author",1
"ca.water.usgs.gov","distributor",2
"ca.water.usgs.gov","originator",1
"ca.water.usgs.gov","pointOfContact",1
"ca.water.usgs.gov","processor",14
"ca.water.usgs.gov","publisher",2
"ca.water.usgs.gov","resourceProvider",1
"catalog.data.gov","NONE",28
"catalog.data.gov","Point Of Contact",2
"catalog.data.gov","author",183
"catalog.data.gov","collaborator",97
"catalog.data.gov","custodian",1076
"catalog.data.gov","distirbutor",6
"catalog.data.gov","distributor",4459
"catalog.data.gov","originator",20950
"catalog.data.gov","owner",88
"catalog.data.gov","pointOfContact",11129
"catalog.data.gov","pointofContact",50
"catalog.data.gov","principalInvestigator",57
"catalog.data.gov","processor",2019
"catalog.data.gov","publisher",7898
"catalog.data.gov","resourceProvider",1506
"catalog.data.gov","sponsor",19
"catalogue.datalocale.fr","distributor",1
"catalogue.datalocale.fr","pointOfContact",1
"cida.usgs.gov","originator",6
"cida.usgs.gov","pointOfContact",4
"cida.usgs.gov","publisher",2
"climate-adapt.eea.europa.eu","pointOfContact",2
"coast.noaa.gov","author",137
"coast.noaa.gov","distributor",134
"coast.noaa.gov","originator",583
"coast.noaa.gov","pointOfContact",379
"coast.noaa.gov","processor",585
"coast.noaa.gov","publisher",298
"coastwatch.pfeg.noaa.gov","contributor",376
"coastwatch.pfeg.noaa.gov","distributor",333
"coastwatch.pfeg.noaa.gov","originator",1330
"coastwatch.pfeg.noaa.gov","pointOfContact",666
"d1opzmrrdjgef4.cloudfront.net","pointOfContact",2
"data-search.nerc.ac.uk","Originator",6
"data-search.nerc.ac.uk","author",2035
"data-search.nerc.ac.uk","ceda_officer",802
"data-search.nerc.ac.uk","curator",836
"data-search.nerc.ac.uk","custodian",1653
"data-search.nerc.ac.uk","distributer",836
"data-search.nerc.ac.uk","distributor",1592
"data-search.nerc.ac.uk","funder",1
"data-search.nerc.ac.uk","metadata_owner",836
"data-search.nerc.ac.uk","originator",550
"data-search.nerc.ac.uk","owner",61
"data-search.nerc.ac.uk","pointOfContact",1735
"data-search.nerc.ac.uk","point_of_contact",836
"data-search.nerc.ac.uk","principalInvestigator",17
"data-search.nerc.ac.uk","processor",3
"data-search.nerc.ac.uk","publisher",931
"data-search.nerc.ac.uk","resourceProvider",126
"data-search.nerc.ac.uk","user",12
"data.boisestate.edu","distributor",4
"data.boisestate.edu","pointOfContact",4
"data.daff.gov.au","author",22
"data.daff.gov.au","custodian",140
"data.daff.gov.au","distributor",42
"data.daff.gov.au","originator",5
"data.daff.gov.au","pointOfContact",18
"data.daff.gov.au","principalInvestigator",5
"data.daff.gov.au","processor",2
"data.daff.gov.au","publisher",47
"data.daff.gov.au","resourceProvider",2
"data.doi.gov","distributor",37
"data.doi.gov","originator",120
"data.doi.gov","pointOfContact",117
"data.doi.gov","processor",15
"data.doi.gov","publisher",86
"data.fao.org","owner",1
"data.fao.org","pointOfContact",4
"data.gov.au","author",17
"data.gov.au","custodian",20
"data.gov.au","distributor",2
"data.gov.au","pointOfContact",28
"data.ioos.us","contributor",368
"data.ioos.us","distributor",184
"data.ioos.us","originator",368
"data.ioos.us","pointOfContact",368
"data.nanoos.org","contributor",12
"data.nanoos.org","distributor",22
"data.nanoos.org","originator",48
"data.nanoos.org","pointOfContact",44
"data.noaa.gov","NONE",76
"data.noaa.gov","author",48
"data.noaa.gov","chiefScientist",9
"data.noaa.gov","collaborator",79
"data.noaa.gov","custodian",3144
"data.noaa.gov","distributor",1897
"data.noaa.gov","editor",1
"data.noaa.gov","institution",1
"data.noaa.gov","originator",2916
"data.noaa.gov","owner",13
"data.noaa.gov","pointOfContact",3243
"data.noaa.gov","principalInvestigator",202
"data.noaa.gov","processor",417
"data.noaa.gov","publisher",1586
"data.noaa.gov","resourceProvider",1126
"data.noaa.gov","sponsor",41
"data.noaa.gov","user",13
"data.nodc.noaa.gov","custodian",216
"data.nodc.noaa.gov","distributor",4
"data.nodc.noaa.gov","originator",4
"data.nodc.noaa.gov","pointOfContact",103
"data.nodc.noaa.gov","publisher",4
"data.nodc.noaa.gov","resourceProvider",169
"data.nodc.noaa.gov","sponsor",4
"data.ottawa.ca","custodian",1
"data.satapps.org","NONE",1
"data.satapps.org","custodian",1
"data.satapps.org","distributor",38
"data.satapps.org","pointOfContact",108
"data.ulm.de","pointOfContact",138
"datapoint.metoffice.gov.uk","pointOfContact",25
"datapoint.metoffice.gov.uk","publisher",25
"dataxfer.stanford.edu:8080","distributor",4
"dataxfer.stanford.edu:8080","originator",8
"dataxfer.stanford.edu:8080","pointOfContact",8
"discomap.eea.europa.eu","author",1
"discomap.eea.europa.eu","pointOfContact",1
"discomap.eea.europa.eu","principalInvestigator",1
"docs.lib.noaa.gov","Originator",20
"docs.lib.noaa.gov","custodian",2
"docs.lib.noaa.gov","distributor",2
"docs.lib.noaa.gov","principalInvestigator",6
"docs.lib.noaa.gov","resourceProvider",2
"donnees.ec.gc.ca","NONE",29
"donnees.ec.gc.ca","RI_409",9
"donnees.ec.gc.ca","RI_412",1
"donnees.ec.gc.ca","RI_414",5
"donnees.ec.gc.ca","RI_418",1
"ecco.jpl.nasa.gov","originator",735
"ecco.jpl.nasa.gov","pointOfContact",294
"ecowatch.ncddc.noaa.gov","distributor",76
"ecowatch.ncddc.noaa.gov","originator",228
"ecowatch.ncddc.noaa.gov","pointOfContact",152
"edg.epa.gov","author",3
"edg.epa.gov","custodian",64
"edg.epa.gov","distributor",67
"edg.epa.gov","originator",131
"edg.epa.gov","owner",3
"edg.epa.gov","pointOfContact",128
