"codelist_value";"count"
"CF compliant and merge with ERAI ocean data for Earth2Observe project";1
"Coordinator; NOAA Coral Reef Watch";10
"Creator of DEM from various sources";6
"INVALID ROLE CODE";7
"NONE";403
"Originator";6
"Partij die eigenaar is van de data";1
"Partij waarmee contact kan worden opgenomen voor het vergaren van kennis of verstrekking van de data";1
"Point Of Contact";2
"Project Investigator";315
"RI_408";5
"RI_409";22
"RI_412";2
"RI_414";20
"RI_418";1
"author";3648
"ceda_officer";802
"chiefScientist";24
"collaborator";195
"contributor";1528
"curator";836
"custodian";21946
"dataDistributor";1
"distirbutor";6
"distributer";836
"distributor";3450
"editor";2
"funder";7
"institution";1
"metadata_owner";836
"originator";30452
"owner";5621
"pointOfContact";36004
"point_of_contact";836
"pointofContact";53
"principalInvestigator";584
"processor";17
"publisher";8889
"resourceProvider";2246
"sponsor";1
"user";88
