"host","records_per_host","avg_bow_size","min_bow_size","max_bow_size"
"e4ftl01.cr.usgs.gov",55523,94,20,624
"www.interieur.gouv.fr",51632,189,6,40550
"findingaids.princeton.edu",25845,169,4,52955
"disc2.nascom.nasa.gov",23054,312,16,6856
"ngs.woc.noaa.gov",20660,26,1,20776
"collections.nlm.nih.gov.libproxy.lib.unc.edu",19778,32,6,25289
"academiccommons.columbia.edu",18328,197,17,6346
"vho.nasa.gov",17157,76,1,10290
"earthquake.usgs.gov",13222,2871,2,66845
"opendata.euskadi.eus",12039,1029,1,62075
"storms.ngs.noaa.gov",11776,48,1,20776
"catalog.data.gov",10717,1331,28,67013
"wind.gsfc.nasa.gov",10428,81,14,6847
"walrus.wr.usgs.gov",9901,874,3,10278
"data1.gfdl.noaa.gov",9445,52,8,16575
"bnb.data.bl.uk",8068,161,47,6854
"starbase.jpl.nasa.gov",6623,1158,23,26158
"statistics.data.gov.uk",6348,204,32,44621
"rmgsc.cr.usgs.gov",6258,619,3,29269
"data.3tu.nl",5915,601,2,64763
"inport.nmfs.noaa.gov",5492,534,32,31466
"accession.nodc.noaa.gov",5359,16,7,56
"cxc.cfa.harvard.edu",5123,17,3,3837
"www.nodc.noaa.gov",4861,1416,11,67950
"search.geothermaldata.org",4792,183,50,3095
"acdisc.gsfc.nasa.gov",4616,2689,18,16275
"vmo.igpp.ucla.edu",4058,26,23,34
"acdisc.sci.gsfc.nasa.gov",3994,7122,11,17863
"www.esrl.noaa.gov",3557,291,14,17544
"data.globalchange.gov",3552,118,12,4806
"vho.gsfc.nasa.gov",3516,84,1,4523
"b2find.eudat.eu",3464,364,41,5177
"sam.research.sc.edu",3265,42,14,93
"frda.stanford.edu",3217,6,6,53
"data-search.nerc.ac.uk",3172,483,20,3875
"vmo.nasa.gov",3136,275,1,8655
"repository.stategeothermaldata.org",3068,446,1,43536
"gisdata.nd.gov",2944,1454,3,18848
"www.cambridge.org",2837,94,7,19699
"pubs.usgs.gov",2818,1542,4,20542
"plazi.cs.umb.edu",2691,252,45,3074
"operadata.stanford.edu",2642,6,6,6
"joinup.ec.europa.eu",2459,97,1,11569
"www.usgs.gov",2347,183,6,28576
"data.noaa.gov",2244,1547,176,18215
"tds.ucar.edu",2119,1093,149,63510
"xml2rfc.ietf.org",2020,49,6,890
"ladsweb.nascom.nasa.gov",1998,116,1,1964
"meta.geo.census.gov",1933,1371,100,3579
"ecco2.jpl.nasa.gov",1907,207,15,15184
"www.icpsr.umich.edu",1845,1345,6,4294
"coast.noaa.gov",1745,1390,7,14195
"ferret.pmel.noaa.gov",1623,173,40,21525
"lindquist.cul.columbia.edu",1622,13,8,60
"www.rc.umd.edu",1598,1428,551,16466
"repository.asu.edu",1574,182,5,10971
"portal.gov.cz",1567,19960,8,151693
"www.coris.noaa.gov",1548,1316,52,18226
"cimss.ssec.wisc.edu",1531,31,2,202
"www.landscape.blm.gov",1406,1410,321,7820
"gstore.unm.edu",1292,882,92,5409
"lance.nsstc.nasa.gov",1252,15,14,41
"wind.nasa.gov",1207,635,1,8653
"mrdata.usgs.gov",1180,1559,2,64887
"www.aifb.kit.edu",1173,877,56,98688
"www.cpc.ncep.noaa.gov",1160,114,2,21782
"esds.ac.uk",1157,2623,69,12436
"www.cornellpress.cornell.edu",1143,671,97,2550
"cordis.europa.eu",1136,852,3,8810
"www.ngdc.noaa.gov",1120,2509,11,19349
"data.usgs.gov",1116,2036,137,67013
"libsearch.nps.edu",1115,168,26,727
"d2i.indiana.edu",1107,128,6,519
"zenodo.org",1079,203,11,8223
"data.ulgov.ru",1079,28,1,3277
"profiles.ucdenver.edu",1062,148,5,3341
"data.gc.ca",1046,210,61,2034
"www.euskadi.eus",1030,1374,127,62075
"webarchive.nationalarchives.gov.uk",1022,1692,4,41796
"data.ncvo.org.uk",1008,330,23,14964
"catalog.clarin.eu",1004,343,5,11016
"parliament.yurukov.net",986,73,4,4322
"www.repository.cam.ac.uk",971,536,16,9950
"data.opencolorado.org",912,83,10,6879
"docsouth.unc.edu",903,16056,281,113965
"oai.narcis.nl",903,211,25,2160
"www.glerl.noaa.gov",884,12,1,307
"www.uab.edu",877,30,6,48
"www.seismo.unr.edu",830,5323,15,82395
"gis1.usgs.gov",827,2784,5,19060
"forge.montana.edu",814,261,12,29756
"services.fsd.uta.fi",792,5032,14,41172
"coastwatch.pfeg.noaa.gov",791,1743,3,4255
"www.idwr.idaho.gov",771,3088,14,20036
"edis.usitc.gov",741,44,6,2897
"plainshumanities.unl.edu",724,658,153,6696
"research.cs.wisc.edu",716,6407,3,100768
"opendata.ulgov.ru",715,40,1,3277
"ecco.jpl.nasa.gov",714,375,38,852
"www.eea.europa.eu",706,1201,1,30390
"vwo.gsfc.nasa.gov",686,129,1,1639
"oos.soest.hawaii.edu",681,1464,11,3816
"imars.marine.usf.edu",679,2,2,2
"semantic.digital-agenda-data.eu",657,151,24,2556
"ebba.english.ucsb.edu",640,1571,685,4235
"www.ncddc.noaa.gov",635,2221,11,6993
"data.boisestate.edu",629,986,1,9663
"www1.usgs.gov",619,1595,54,8294
"pubs.er.usgs.gov",616,223,5,1203
"nyx.uky.edu",613,5562,167,43354
"open.canada.ca",607,200,63,976
"www.jiscmail.ac.uk",604,1453,114,10956
"forest.moscowfsl.wsu.edu",596,293,288,366
"www.msu.edu",587,200,1,2936
"water.usgs.gov",573,2001,4,18249
"stellwagen.er.usgs.gov",557,564,2,17377
"logd.tw.rpi.edu",553,,,
"www.soc.hawaii.edu",550,8,1,82
"bv.stanford.edu",542,21,8,52
"siaapps.uits.arizona.edu",529,459,30,27332
"woodshole.er.usgs.gov",524,1957,11,17085
"www2.irekia.euskadi.net",519,32,8,59
"www.dartmouth.edu",513,1,1,12
"www.biocatalogue.org",483,1075,24,20600
"climber.org",477,108,13,2228
"planetred.unl.edu",471,389,25,3044
"www.hq.nasa.gov",471,7,1,27
"opendap.cr.usgs.gov",470,478,18,6525
"apps.fs.fed.us",462,1476,10,7009
"dataserver.nccs.nasa.gov",444,558,31,27877
"www.ral.ucar.edu",436,90,3,964
"www.charts.noaa.gov",434,2368,452,17339
"tripod.brynmawr.edu",431,160,44,659
"www.coast.noaa.gov",430,976,10,7009
"coaps.fsu.edu",419,418,34,2980
"ec.gc.ca",400,1571,10,6991
"quashnet.er.usgs.gov",389,416,9,4368
"www.math.nmsu.edu",374,10,1,70
"data.ioos.us",373,1376,117,1749
"www.sciencebase.gov",369,2262,72,10871
"ouvert.canada.ca",366,205,67,884
"matsu-analytics.opensciencedatacloud.org",366,6038,162,30506
"www.newtonproject.sussex.ac.uk",365,3333,164,28030
"download.wpi.edu",356,361,21,29839
"map.rpi.edu",352,394,40,10678
"insaph.kcl.ac.uk",351,301,175,2868
"www.datafirst.uct.ac.za",348,6367,27,29229
"www.rap.ucar.edu",340,115,3,964
"spotlite.nih.gov.libproxy.lib.unc.edu",329,167,1,5551
"debate.uvm.edu",328,212,2,754
"encdirect.noaa.gov",322,3061,9,7008
"datasets.antwerpen.be",318,4664,2,43869
"data.gov.uk",318,221,47,1197
"crack.seismo.unr.edu",318,108,2,1091
"portal.oceannet.org",313,438,16,6520
"www.rpi.edu",305,14,1,564
"commons.wvc.edu",305,21,1,197
"gcmd.gsfc.nasa.gov",295,180,119,6351
"viewer.soton.ac.uk",294,542,35,19159
"sofia.usgs.gov",292,1735,272,10250
"datafirst.uct.ac.za",291,6759,45,29242
"api.gbif.org",288,121,26,907
"www.w3.org",285,1177,1,17097
"www2.le.ac.uk",283,3122,22,17936
"bluehub.jrc.ec.europa.eu",283,2121,11,4210
"data.nodc.noaa.gov",281,1179,11,5506
"www.princeton.edu",279,9,1,192
"drtc.isibang.ac.in",278,193,21,1115
"www.ideals.illinois.edu",277,873,11,38808
"www.cordis.europa.eu",276,1037,28,3852
"dm.sfos.uaf.edu",274,1550,109,10099
"www.earthsystemgrid.org",274,188,15,7688
"www.aeic.alaska.edu",272,2792,10,42779
"www.rijkswaterstaat.nl",272,30,4,1483
"edg.epa.gov",266,839,27,5775
"upwell.pfeg.noaa.gov",262,1978,11,4270
"cartweb.geography.ua.edu",257,55,44,64
"projects.cs.uaf.edu",257,147,1,1290
"www.lib.utexas.edu",249,3274,18,34520
"www.pasda.psu.edu",249,926,4,4002
"www.itu.int",247,4580,10,26395
"www.ess.uci.edu",246,371,40,1587
"data.gov.ru",245,625,1,9358
"www.zenodo.org",242,161,19,1018
"www.uvm.edu",242,407,1,5823
"www.casos.cs.cmu.edu",239,2497,1,30813
"comcat.cr.usgs.gov",236,456,1,3382
"ghrc.nsstc.nasa.gov",232,369,15,5504
"mcm.lternet.edu",232,1843,454,12862
"www.nottingham.ac.uk",225,412,35,2514
"atlas.resources.ca.gov",225,1852,11,7009
"www.morris.umn.edu",223,7,1,24
"nrdata.nps.gov",220,1791,1240,3462
"atlas.wvgs.wvnet.edu",218,2065,11,6993
"data.ox.ac.uk",217,1101,117,52465
"cather.unl.edu",213,5034,206,83783
"waspftp.cis.rit.edu",210,1,1,1
"services.azgs.az.gov",210,1228,33,6993
"data.ydmed.gov.gr",209,423,63,3804
"fmbaros.ru",209,637,224,1049
"maritimeboundaries.noaa.gov",207,1533,10,7008
"ftp.cpc.ncep.noaa.gov",204,252,34,1547
"geothermal.isgs.illinois.edu",204,1527,74,6993
"apps.fs.usda.gov",203,483,11,7009
"mslapps.mt.gov",202,1057,190,8692
"www.siue.edu",202,262,1,4168
"www.perseus.tufts.edu",200,794,3,36124
"www.navigationdatacenter.us",200,306,3,896
"gispub.epa.gov",199,2460,10,7008
"vmo.gsfc.nasa.gov",199,177,1,1205
"techport.nasa.gov",195,433,28,3884
"www.svb.nl",194,83,11,225
"www.noao.edu",194,6,5,8
"radbelts.gsfc.nasa.gov",194,773,1,8652
"gis.outagamie.org",193,1469,10,6992
"profiles.uky.edu",190,239,17,2358
"gita.grainger.uiuc.edu",189,243,6,8780
"www.ag.ndsu.edu",189,419,4,2004
"geo.sv.rostock.de",189,1699,9,13664
"ora.ox.ac.uk",187,269,2,903
"maps.ngdc.noaa.gov",187,1511,9,7009
"texashistory.unt.edu",187,358,40,38653
"microdata.worldbank.org",187,9701,11,31779
"www2.bc.edu",187,14,1,260
"opendata.hccg.gov.tw",187,281,1,9480
"data.unaids.org",186,1103,2,8669
"vikingsabroad.pdx.edu",184,37,37,37
"datatank4.gent.be",182,1453,1,21362
"enviroatlas.epa.gov",181,2324,19,6992
"locationmde.data.gov.uk",181,397,221,848
"www.agecon.purdue.edu",175,8,8,8
"webqa.coast.noaa.gov",175,230,10,529
"earth.eo.esa.int",174,854,440,991
"geoport.whoi.edu",174,999,221,6554
"www.fgdl.org",174,3375,1068,25971
"ecosystems.mbl.edu",173,1190,2,2598
"docs.lib.noaa.gov",172,547,6,18501
"www.nmu.edu",172,8,1,12
"data.gov.ro",171,1809,1,19769
"www.utdallas.edu",170,32,2,340
"ar2004.emcdda.europa.eu",169,228,41,1904
"www.ttp.kit.edu",169,235,131,3113
"digital.grinnell.edu",169,181,20,948
"www.astro.umd.edu",168,106,10,210
"coweeta.uga.edu",164,1161,7,24576
"documents.gisela-grid.eu",163,52,6,190
"www.ssc.wisc.edu",163,41,1,2898
"www.cs.drexel.edu",161,4916,2,24462
"find.nrao.edu",160,13,7,271
"ccom.unh.edu",160,1000,613,1164
"geonexusr.iowadot.gov",160,453,13,7008
"www.bellevuecollege.edu",160,11,1,101
"web2.nbmg.unr.edu",158,984,63,6993
"ecowatch.ncddc.noaa.gov",157,1795,53,2748
"dl.tufts.edu",156,1232,197,16703
"geodata.epa.gov",156,846,10,7008
"data.denvergov.org",155,944,78,10195
"lter.limnology.wisc.edu",154,1836,657,8579
"static.cdm.reed.edu",154,,,
"www.data.vic.gov.au",153,122,32,632
"services.geocirrus.co.nz",150,203,13,2032
"www.ag.ndsu.nodak.edu",150,8,2,36
"profiles.psu.edu",150,408,18,3027
"www.herbarium.unc.edu",148,8,1,12
"ebiquity.umbc.edu",148,406,19,15706
"www.opendataphilly.org",147,155,37,1700
"irmaservices.nps.gov",147,1697,10,6992
"www.opendata.fi",146,177,52,631
"digital.lib.ecu.edu",146,610,52,9932
"vents-data.interridge.org",145,55,50,62
"www.pewinternet.org",145,319,25,12929
"trilogy.brynmawr.edu",144,1535,227,15885
"gcmdservices.gsfc.nasa.gov",143,863,25,18208
"wrecks.nauticalcharts.noaa.gov",143,1418,10,7009
"kars.ku.edu",143,2198,20,7008
"www.nasa.gov",142,605,272,8528
"socialwork.uw.edu",142,270,47,2193
"medievallondon.ace.fordham.edu",141,647,32,1485
"ora.ouls.ox.ac.uk",140,233,21,666
"www4.ncsu.edu",139,385,1,3560
"www.nws.noaa.gov",139,140,1,6129
"legislation.data.gov.uk",138,6510,294,53477
"www.oirp.pdx.edu",138,8,1,100
"reference.data.gov.uk",137,413,30,16579
"www.studyabroad.miamioh.edu",136,22,22,22
"www.ncdc.noaa.gov",135,37,3,790
"stuff.mit.edu",135,931,2,23917
"discomap.eea.europa.eu",133,836,4,9186
"special.lib.umn.edu",132,2442,227,28715
"motion-database.humanoids.kit.edu",131,9181,25,20138
