"id","age","protocol","num_quality_tokens","num_quality_elements"
692744,"2007-12-01","""ISO""",68,2
495606,"2007-12-01","""ISO""",76,2
549621,"1998-03-01","""ISO""",56,2
220567,"2014-12-01","""ISO""",148,2
666502,"2013-08-01","""ISO""",18,2
497135,"2014-11-01","""ISO""",116,2
468459,"2015-08-01","""ISO""",24,2
646270,"2014-09-01","""ISO""",2,2
324467,"2012-03-01","""ISO""",58,2
256438,"2012-01-01","""ISO""",24,2
799225,"2007-04-01","""ISO""",82,2
348786,"2009-07-01","""ISO""",190,2
356720,"2008-04-01","""ISO""",80,2
593763,"2002-05-01","""ISO""",120,2
184438,"2012-11-01","""ISO""",190,2
480395,"2012-12-01","""ISO""",136,2
188833,"2004-06-01","""ISO""",84,2
801405,"2009-03-01","""ISO""",98,2
593148,"2014-03-01","""ISO""",2,2
406244,"2011-07-01","""ISO""",62,2
261921,"2012-03-01","""ISO""",136,2
268682,"2012-06-01","""ISO""",44,2
225785,"2008-12-01","""ISO""",342,2
812627,"2012-06-01","""ISO""",44,2
439883,"2011-01-01","""ISO""",134,2
461200,"2014-09-01","""ISO""",36,2
468530,"2010-06-01","""ISO""",2,2
496582,"2009-01-01","""ISO""",80,2
164211,"2008-06-01","""ISO""",2,2
331144,"2012-12-01","""ISO""",6,2
246642,"2006-09-01","""ISO""",342,2
352452,"2014-03-01","""ISO""",100,2
673463,"2014-09-01","""ISO""",168,2
489299,"1998-07-01","""ISO""",16,2
356368,"2014-06-01","""ISO""",198,2
650076,"9999-01-01","""ISO""",12,2
634578,"2015-06-01","""ISO""",22,2
454483,"2014-11-01","""ISO""",20,2
652742,"2014-07-01","""ISO""",84,2
482561,"2008-03-01","""ISO""",342,2
655494,"2009-03-01","""ISO""",80,2
785478,"2010-06-01","""ISO""",12,2
582954,"2008-07-01","""ISO""",26,2
474056,"2014-09-01","""ISO""",92,2
434658,"2012-06-01","""ISO""",44,2
787470,"2008-10-01","""ISO""",66,2
147423,"2012-10-01","""ISO""",122,2
414364,"2011-04-01","""ISO""",190,2
699532,"2003-06-01","""ISO""",134,2
140017,"2012-06-01","""ISO""",44,2
258205,"2008-03-01","""ISO""",86,2
201646,"2005-02-01","""ISO""",12,2
703548,"2014-10-01","""ISO""",2,2
609753,"2012-06-01","""ISO""",44,2
709207,"2007-04-01","""ISO""",344,2
245463,"2010-02-01","""ISO""",138,2
624143,"2008-01-01","""ISO""",2,2
306482,"2013-01-01","""ISO""",50,2
761114,"2015-07-01","""ISO""",74,2
249241,"2011-03-01","""ISO""",210,2
301756,"2012-12-01","""ISO""",136,2
621583,"2014-09-01","""ISO""",48,2
169566,"2010-02-01","""ISO""",342,2
493202,"2014-09-01","""ISO""",168,2
584948,"2013-05-01","""ISO""",50,2
453178,"2005-12-01","""ISO""",2,2
364601,"2011-03-01","""ISO""",210,2
375592,"2011-02-01","""ISO""",36,2
710751,"2009-09-01","""ISO""",22,2
637855,"2014-09-01","""ISO""",168,2
547122,"2014-03-01","""ISO""",2,2
547865,"2008-01-01","""ISO""",2,2
638192,"2014-03-01","""ISO""",6,2
259822,"2014-07-01","""ISO""",198,2
297865,"2007-04-01","""ISO""",134,2
650954,"2008-09-01","""ISO""",2,2
617355,"2010-02-01","""ISO""",134,2
686498,"2007-10-01","""ISO""",2,2
389977,"1998-07-01","""ISO""",16,2
246161,"1998-07-01","""ISO""",144,2
623736,"2014-07-01","""ISO""",160,2
455446,"2014-12-01","""ISO""",58,2
523950,"2010-10-01","""ISO""",190,2
545973,"2014-04-01","""ISO""",56,2
344291,"2005-02-01","""ISO""",12,2
388858,"2015-07-01","""ISO""",150,2
458386,"2010-06-01","""ISO""",12,2
760132,"2010-09-01","""ISO""",4,2
332772,"2008-04-01","""ISO""",28,2
369500,"2014-03-01","""ISO""",120,2
352706,"2012-06-01","""ISO""",44,2
381543,"2005-10-01","""ISO""",12,2
725234,"2007-05-01","""ISO""",82,2
302697,"2014-11-01","""ISO""",96,2
320628,"2015-07-01","""ISO""",2,2
705014,"2015-07-01","""ISO""",118,2
580983,"1998-07-01","""ISO""",16,2
442914,"2010-01-01","""ISO""",32,2
617257,"2007-04-01","""ISO""",20,2
642934,"2005-12-01","""ISO""",230,2
204382,"2014-07-01","""ISO""",136,2
207134,"2014-09-01","""ISO""",136,2
646491,"2010-06-01","""ISO""",2,2
255318,"2014-10-01","""ISO""",2,2
333059,"2010-08-01","""ISO""",20,2
270033,"2010-12-01","""ISO""",190,2
563677,"2005-04-01","""ISO""",32,2
283781,"2014-09-01","""ISO""",66,2
219313,"2014-07-01","""ISO""",62,2
150465,"2008-02-01","""ISO""",2,2
501375,"2010-09-01","""ISO""",342,2
522915,"2014-07-01","""ISO""",2,2
758212,"2003-06-01","""ISO""",142,2
471452,"2008-09-01","""ISO""",346,2
323590,"2012-07-01","""ISO""",42,2
305505,"2013-10-01","""ISO""",136,2
754819,"2008-09-01","""ISO""",192,2
635486,"2012-09-01","""ISO""",158,2
286148,"2006-08-01","""ISO""",346,2
630639,"2002-03-01","""ISO""",6,2
801156,"2010-09-01","""ISO""",74,2
260243,"2006-06-01","""ISO""",80,2
359608,"2010-10-01","""ISO""",22,2
632933,"2013-07-01","""ISO""",90,2
254681,"9999-01-01","""ISO""",56,2
170640,"2014-11-01","""ISO""",2,2
713267,"2011-11-01","""ISO""",2,2
763326,"2007-11-01","""ISO""",66,2
528380,"2011-10-01","""ISO""",76,2
265759,"1990-01-01","""ISO""",206,2
377239,"2012-06-01","""ISO""",44,2
188441,"2008-11-01","""ISO""",82,2
288065,"2015-06-01","""ISO""",186,2
524151,"2014-03-01","""ISO""",94,2
176364,"2010-08-01","""ISO""",140,2
255464,"2003-07-01","""ISO""",42,2
172886,"1996-04-01","""ISO""",2,2
187252,"2014-03-01","""ISO""",104,2
233746,"2012-10-01","""ISO""",40,2
284988,"2013-02-01","""ISO""",138,2
684275,"2015-06-01","""ISO""",882,2
374884,"2006-01-01","""ISO""",100,2
598665,"2012-03-01","""ISO""",2,2
172147,"2008-01-01","""ISO""",2,2
439441,"2013-10-01","""ISO""",74,2
214099,"2007-05-01","""ISO""",346,2
657587,"2004-05-01","""ISO""",74,2
223036,"2012-02-01","""ISO""",2,2
733797,"2007-03-01","""ISO""",6,2
647606,"1998-07-01","""ISO""",16,2
597858,"2006-06-01","""ISO""",342,2
306490,"2011-09-01","""ISO""",20,2
345590,"2014-11-01","""ISO""",6,2
199342,"2006-04-01","""ISO""",150,2
545933,"2011-02-01","""ISO""",158,2
765094,"2004-02-01","""ISO""",10,2
698786,"2015-06-01","""ISO""",22,2
617548,"2014-09-01","""ISO""",24,2
342654,"2012-12-01","""ISO""",136,2
165340,"2008-07-01","""ISO""",82,2
667142,"2011-11-01","""ISO""",98,2
744851,"2011-04-01","""ISO""",194,2
336890,"2014-03-01","""ISO""",32,2
419162,"2005-06-01","""ISO""",32,2
336431,"2009-01-01","""ISO""",80,2
400159,"2012-12-01","""ISO""",50,2
550774,"2014-04-01","""ISO""",18,2
330641,"1998-07-01","""ISO""",16,2
285163,"2010-08-01","""ISO""",140,2
165803,"2013-03-01","""ISO""",114,2
719121,"2007-10-01","""ISO""",74,2
562727,"9999-01-01","""ISO""",78,2
158489,"2012-08-01","""ISO""",66,2
