"element_value","host","num_responses"
"375","catalog.data.gov",40
"375","repository.stategeothermaldata.org",9
"381","catalog.data.gov",26
"381","repository.stategeothermaldata.org",2
"browsing","catalog.data.gov",84
"browsing","edg.epa.gov",65
"display","catalog.data.gov",2
"display","data.noaa.gov",4
"display","www.ngdc.noaa.gov",2
"download","arcticlcc.org",1
"download","bluehub.jrc.ec.europa.eu",136
"download","catalog.data.gov",338
"download","cida.usgs.gov",2
"download","coast.noaa.gov",97
"download","coastwatch.pfeg.noaa.gov",333
"download","data.daff.gov.au",3
"download","data.fao.org",1
"download","data.gov.au",18
"download","data.ioos.us",184
"download","data.nanoos.org",22
"download","data.noaa.gov",358
"download","data.nodc.noaa.gov",100
"download","data-search.nerc.ac.uk",352
"download","dataxfer.stanford.edu",4
"download","dcsu059g9fk65.cloudfront.net",5
"download","docs.lib.noaa.gov",2
"download","ecco.jpl.nasa.gov",147
"download","ecowatch.ncddc.noaa.gov",76
"download","edgar.jrc.ec.europa.eu",2
"download","edg.epa.gov",66
"download","ferret.pmel.noaa.gov",14
"download","geoport.whoi.edu",112
"download","gsics.eumetsat.int",10
"download","inport.nmfs.noaa.gov",68
"download","inspire.halton.gov.uk",1
"download","locationmde.data.gov.uk",111
"download","map.richmond.gov.uk",1
"download","maps.northlincs.gov.uk",1
"download","meta.geo.census.gov",333
"download","oos.soest.hawaii.edu",326
"download","osmc.noaa.gov",27
"download","pacioos-mapserver2.ancl.hawaii.edu",13
"download","stellwagen.er.usgs.gov",109
"download","taskman.eionet.europa.eu",1
"download","upwell.pfeg.noaa.gov",119
"download","webarchive.nationalarchives.gov.uk",23
"download","wis.wmo.int",2
"download","www1.ncdc.noaa.gov",1
"download","www1.usgs.gov",2
"download","www.aoncadis.org",31
"download","www.coris.noaa.gov",18
"download","www.data.gouv.fr",2
"download","www.datanorthyorkshire.org",1
"download","www.earthsystemgrid.org",93
"download","www.geoportal.rlp.de",1
"download","www.ncddc.noaa.gov",200
"download","www.ngdc.noaa.gov",954
"download","www.salford.gov.uk",14
"downloadRegistration","www.seadatanet.org",2
"fileAccess","arcticlcc.org",1
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_OnLineFunctionCode","catalog.data.gov",15
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_OnLineFunctionCode","data.noaa.gov",7
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_OnLineFunctionCode","www.coris.noaa.gov",194
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_OnLineFunctionCode","www.ncddc.noaa.gov",4
"information","217.23.233.67",3
"information","arcticlcc.org",1
"information","catalog.data.gov",221
"information","cida.usgs.gov",1
"information","climate-adapt.eea.europa.eu",1
"information","data.fao.org",1
"information","data.gov.au",6
"information","data.noaa.gov",267
"information","data.nodc.noaa.gov",98
"information","datapoint.metoffice.gov.uk",2
"information","data-search.nerc.ac.uk",474
"information","docs.lib.noaa.gov",2
"information","edgar.jrc.ec.europa.eu",2
"information","edg.epa.gov",64
"information","epa.gov",1
"information","geoport.whoi.edu",106
"information","gis.breconbeacons.org",4
"information","inport.nmfs.noaa.gov",708
"information","inspire.halton.gov.uk",3
"information","locationmde.data.gov.uk",113
"information","maps.northlincs.gov.uk",1
"information","oos.soest.hawaii.edu",167
"information","portal.oceannet.org",2
"information","repository.stategeothermaldata.org",4
"information","rsg.pml.ac.uk",1
"information","webarchive.nationalarchives.gov.uk",109
"information","www1.ncdc.noaa.gov",1
"information","www.aoncadis.org",12
"information","www.beacons-npa.gov.uk",2
"information","www.coris.noaa.gov",57
"information","www.datanorthyorkshire.org",1
"information","www.earthsystemgrid.org",1
"information","www.epa.gov",1
"information","www.ncddc.noaa.gov",68
"information","www.ngdc.noaa.gov",112
"information","www.salford.gov.uk",14
"information","www.usgs.gov",1
"mapDigital","bluehub.jrc.ec.europa.eu",136
"mapDigital","cida.usgs.gov",2
"mapDigital","coastwatch.pfeg.noaa.gov",333
"mapDigital","data.ioos.us",184
"mapDigital","data.nanoos.org",22
"mapDigital","dataxfer.stanford.edu",4
"mapDigital","ecco.jpl.nasa.gov",147
"mapDigital","ecowatch.ncddc.noaa.gov",76
"mapDigital","ferret.pmel.noaa.gov",14
"mapDigital","geoport.whoi.edu",112
"mapDigital","gsics.eumetsat.int",10
"mapDigital","oos.soest.hawaii.edu",164
"mapDigital","osmc.noaa.gov",27
"mapDigital","pacioos-mapserver2.ancl.hawaii.edu",13
"mapDigital","stellwagen.er.usgs.gov",109
"mapDigital","upwell.pfeg.noaa.gov",119
"mapDigital","www1.usgs.gov",2
"offlineAccess","data.noaa.gov",3
"offlineAccess","data.nodc.noaa.gov",1
"offlineAccess","data-search.nerc.ac.uk",7
"offlineAccess","www.coris.noaa.gov",8
"order","catalog.data.gov",8
"order","data.noaa.gov",6
"order","data-search.nerc.ac.uk",131
"order","webarchive.nationalarchives.gov.uk",26
"order","wis.wmo.int",2
"order","www.geoviqua.org",2
"order","www.ngdc.noaa.gov",1
"search","catalog.data.gov",99
"search","data.noaa.gov",153
"search","data.nodc.noaa.gov",5
"search","locationmde.data.gov.uk",9
"search","portal.oceannet.org",30
"search","www.ngdc.noaa.gov",49
"URL","www.seadatanet.org",2
"view","climate-adapt.eea.europa.eu",1
"webService","catalog.data.gov",34
"webService","edg.epa.gov",64
