"element_value","host","num_responses"
"clip","data.gov.au",2
"DAP","data.noaa.gov",14
"DAP","data.nodc.noaa.gov",2
"DAP","docs.lib.noaa.gov",2
"directRead","data.daff.gov.au",14
"directRead","data.gov.au",2
"EEA:FILEPATH","taskman.eionet.europa.eu",1
"ERDDAP:griddap","oos.soest.hawaii.edu",65
"ERDDAP:tabledap","oos.soest.hawaii.edu",43
"ESRI","catalog.data.gov",23
"ESRI","repository.stategeothermaldata.org",2
"ESRI:MAP-1.0-rest-get-open","www.sitr.regione.sicilia.it",2
"file","oos.soest.hawaii.edu",2
"ftp","catalog.data.gov",12
"ftp","coast.noaa.gov",97
"ftp","www.aoncadis.org",1
"ftp","www.coris.noaa.gov",1
"ftp","www.ngdc.noaa.gov",4
"FTP","catalog.data.gov",71
"FTP","data.daff.gov.au",3
"FTP","data.noaa.gov",114
"FTP","data.nodc.noaa.gov",100
"FTP","docs.lib.noaa.gov",2
"FTP","www1.ncdc.noaa.gov",1
"FTP","www.coris.noaa.gov",7
"http","arcticlcc.org",1
"http","catalog.data.gov",142
"http","cida.usgs.gov",1
"http","coast.noaa.gov",97
"http","data.noaa.gov",37
"http","donnees.ec.gc.ca",1
"http","edg.epa.gov",66
"http","meta.geo.census.gov",333
"http","oos.soest.hawaii.edu",176
"http","repository.stategeothermaldata.org",4
"http","rsg.pml.ac.uk",1
"http","www.aoncadis.org",11
"http","www.coris.noaa.gov",3
"http","www.earthsystemgrid.org",1
"http","www.ncddc.noaa.gov",17
"http","www.ngdc.noaa.gov",19
"HTTP","catalog.data.gov",110
"HTTP","data.noaa.gov",135
"HTTP","data.nodc.noaa.gov",101
"HTTP","docs.lib.noaa.gov",2
"HTTP","portal.oceannet.org",30
"HTTP","www1.ncdc.noaa.gov",1
"HTTP","www.coris.noaa.gov",13
"HTTP/1.1","meta.geo.census.gov",19
"HTTP-DOWNLOAD","www.seadatanet.org",2
"https","www.aoncadis.org",31
"https","www.earthsystemgrid.org",93
"KML","catalog.data.gov",1
"NOAA:LAS","oos.soest.hawaii.edu",68
"OGC:WCS","catalog.data.gov",1
"OGC:WFS","catalog.data.gov",26
"OGC:WFS","repository.stategeothermaldata.org",2
"OGC:WFS","www.rijkswaterstaat.nl",1
"OGC:WFS-1.0.0-http-get-feature","data.fao.org",1
"OGC:WFS-2.0.0-http-get-capabilities","www.salford.gov.uk",14
"OGC:WFS-2.0.0-http-get-map","inspire.halton.gov.uk",1
"OGC:wms","data.gov.au",6
"OGC:WMS","catalog.data.gov",16
"OGC:WMS","repository.stategeothermaldata.org",2
"OGC:WMS","www.rijkswaterstaat.nl",3
"OGC:WMS-1.1.0-http-get-map","inspire.halton.gov.uk",1
"OGC:WMS-1.1.1-http-get-map","catalog.data.gov",66
"OGC:WMS-1.1.1-http-get-map","d1opzmrrdjgef4.cloudfront.net",1
"OGC:WMS-1.1.1-http-get-map","gisdata.nd.gov",1
"OGC:WMS-1.1.1-http-get-map","www.add.scar.org",1
"OGC:WMS-1.1.1-http-get-map","www.geoportal.rlp.de",3
"OGC:WMS-1.3.0-http-get-capabilities","vogis.cnv.at",1
"OGC:WMS-1.3.0-http-get-capabilities","www.salford.gov.uk",14
"OGC:WMS-1.3.0-http-get-capabilities","www.sitr.regione.sicilia.it",2
"OGC:WMS-1.3.0-http-get-map","catalog.data.gov",3
"OGC:WMS-1.3.0-http-get-map","data.fao.org",1
"OGC:WMS-1.3.0-http-get-map","webarchive.nationalarchives.gov.uk",21
"OGC:WMTS-1.0.0-http-get-capabilities","datapoint.metoffice.gov.uk",3
"OPENDaP","catalog.data.gov",1
"order","bluehub.jrc.ec.europa.eu",136
"order","coastwatch.pfeg.noaa.gov",333
"order","ecowatch.ncddc.noaa.gov",76
"order","oos.soest.hawaii.edu",151
"order","osmc.noaa.gov",3
"order","upwell.pfeg.noaa.gov",119
"read","data.daff.gov.au",15
"read","data.gov.au",2
"THREDDS","data.noaa.gov",14
"THREDDS","data.nodc.noaa.gov",2
"THREDDS","docs.lib.noaa.gov",2
"THREDDS","www.coris.noaa.gov",1
"urn:ogc:serviceType:WebMapService:1.1.1:HTTP","www.seadatanet.org",2
"WWW:DOWNLOAD-1.0-ftp--download","www.data.gouv.fr",1
"WWW:DOWNLOAD-1.0-http--download","catalog.data.gov",7
"WWW:DOWNLOAD-1.0-http--download","data.gov.au",16
"WWW:DOWNLOAD-1.0-http--download","donnees.ec.gc.ca",2
"WWW:DOWNLOAD-1.0-http--download","www.add.scar.org",1
"WWW:LINK","geoport.whoi.edu",112
"WWW:LINK-1.0-http--link","catalog.data.gov",134
"WWW:LINK-1.0-http--link","data.daff.gov.au",4
"WWW:LINK-1.0-http--link","data.fao.org",1
"WWW:LINK-1.0-http--link","data.noaa.gov",77
"WWW:LINK-1.0-http--link","datapoint.metoffice.gov.uk",20
"WWW:LINK-1.0-http--link","donnees.ec.gc.ca",2
"WWW:LINK-1.0-http--link","gisdata.nd.gov",1
"WWW:LINK-1.0-http--link","inport.nmfs.noaa.gov",776
"WWW:LINK-1.0-http--link","taskman.eionet.europa.eu",1
"WWW:LINK-1.0-http--link","vogis.cnv.at",1
"WWW:LINK-1.0-http--link","www.add.scar.org",1
"WWW:LINK-1.0-http--link","www.coris.noaa.gov",4
"WWW:LINK-1.0-http--link","www.data.gouv.fr",2
"WWW:LINK-1.0-http--link","www.ngdc.noaa.gov",76
"WWW:LINK-1.0-http--link--download","data.daff.gov.au",11
"WWW:LINK-1.0-http--link--download","data.gov.au",2
"WWW:LINK-1.0-http--related","catalog.data.gov",84
"WWW:LINK-1.0-http--related","gisdata.nd.gov",1
