"host","num_hrefs"
"coastwatch.pfeg.noaa.gov",11907
"catalog.data.gov",11511
"earthquake.usgs.gov",8550
"data.ioos.us",7176
"oos.soest.hawaii.edu",7098
"www.ngdc.noaa.gov",5665
"gstore.unm.edu",5138
"www.charts.noaa.gov",5042
"bluehub.jrc.ec.europa.eu",4960
"upwell.pfeg.noaa.gov",4518
"opendata.euskadi.eus",3134
"data.noaa.gov",3047
"ecowatch.ncddc.noaa.gov",2668
"repository.stategeothermaldata.org",2628
"meta.geo.census.gov",2582
"data.usgs.gov",1685
"water.usgs.gov",1677
"mrdata.usgs.gov",1448
"www.euskadi.eus",1314
"data-search.nerc.ac.uk",1260
"osmc.noaa.gov",1009
"www.seismo.unr.edu",870
"woodshole.er.usgs.gov",819
"www.coris.noaa.gov",809
"inport.nmfs.noaa.gov",804
"data.nanoos.org",758
"pubs.usgs.gov",541
"nrdata.nps.gov",520
"pacioos-mapserver2.ancl.hawaii.edu",411
"data.doi.gov",400
"sofia.usgs.gov",348
"www.idwr.idaho.gov",339
"locationmde.data.gov.uk",320
"coast.noaa.gov",317
"data.nodc.noaa.gov",310
"ecco.jpl.nasa.gov",294
"www.aeic.alaska.edu",288
"www.ncddc.noaa.gov",276
"webarchive.nationalarchives.gov.uk",267
"geoport.whoi.edu",224
"stellwagen.er.usgs.gov",218
"www.nodc.noaa.gov",207
"www.lehendakaritza.ejgv.euskadi.eus",195
"dataxfer.stanford.edu",183
"edg.epa.gov",172
"data.daff.gov.au",171
"data.gov.au",163
"arcticlcc.org",149
"mcm.lternet.edu",145
"cloud.insideidaho.org",142
"mslapps.mt.gov",135
"portal.oceannet.org",109
"cdip.ucsd.edu",96
"www.earthsystemgrid.org",94
"www.idaholidar.org",88
"data.boisestate.edu",85
"www.seis.utah.edu",81
"www1.usgs.gov",74
"ecco2.jpl.nasa.gov",60
"comcat.cr.usgs.gov",57
"www.admiralty.co.uk",53
"www.pasda.psu.edu",50
"www.cisn.org",45
"www.aoncadis.org",44
"hdsc.nws.noaa.gov",44
"www.granit.sr.unh.edu",42
"data.satapps.org",39
"www.quake.utah.edu",39
"insideidaho.org",39
"gisdata.nd.gov",38
"sero.nmfs.noaa.gov",38
"gar.lternet.edu",37
"seakgis03.alaska.edu",36
"donnees.ec.gc.ca",36
"cteco.uconn.edu",32
"www.insideidaho.org",30
"sflwww.er.usgs.gov",29
"www.fgdl.org",29
"maps.bristol.gov.uk",28
"www.salford.gov.uk",28
"ferret.pmel.noaa.gov",28
"ccom.unh.edu",27
"www.cteco.uconn.edu",27
"www.sofia.usgs.gov",27
"geo-nsdi.er.usgs.gov",26
"datapoint.metoffice.gov.uk",25
"www.envirobase.usgs.gov",25
"geoportal.utc.edu",23
"gsics.eumetsat.int",20
"www.eea.europa.eu",19
"cugirmetadata.mannlib.cornell.edu",19
"metadata.lumcon.edu",17
"www.streamnet.org",16
"www.edc.uri.edu",15
"sofia.er.usgs.gov",14
"docs.lib.noaa.gov",13
"vislab-ccom.unh.edu",13
"map.demac.udel.edu",12
"rmgsc.cr.usgs.gov",11
"www.nauticalcharts.noaa.gov",11
"isgs.illinois.edu",10
"www.isgs.illinois.edu",10
"www.isgs.uiuc.edu",10
"geo.azmag.gov",10
"olga.er.usgs.gov",9
"www.fws.gov",9
"maps.derby.gov.uk",8
"sedac.ciesin.columbia.edu",8
"wis.wmo.int",8
"www.esrp.org",7
"mms.gina.alaska.edu",7
"data.fao.org",7
"opendata.thessaloniki.gr",6
"www2.geog.ucl.ac.uk",6
"inspire.halton.gov.uk",6
"www.usgs.gov",5
"dcsu059g9fk65.cloudfront.net",5
"www.marine-geo.org",5
"gnis.usgs.gov",5
"gis.breconbeacons.org",5
"geonames.usgs.gov",5
"geology.usgs.gov",5
"www.oregon.gov",5
"cida.usgs.gov",4
"coastal.er.usgs.gov",4
"cmgds.marine.usgs.gov",4
"www.cob.org",4
"www.sitr.regione.sicilia.it",4
"edgar.jrc.ec.europa.eu",4
"www.datanorthyorkshire.org",4
"www.geoportal.rlp.de",4
"www.rijkswaterstaat.nl",4
"www.seadatanet.org",4
"map.richmond.gov.uk",4
"www.data.gouv.fr",3
"or.water.usgs.gov",3
"discomap.eea.europa.eu",3
"217.23.233.67",3
"akenergyinventory.org",3
"www.srs.fs.usda.gov",3
"www.add.scar.org",3
"nsidc.org",3
"taskman.eionet.europa.eu",3
"www.beacons-npa.gov.uk",3
"www.nmfs.noaa.gov",2
"www.cormp.org",2
"www.geoviqua.org",2
"partnerdataexport.ccw.gov.uk",2
"vogis.cnv.at",2
"maps.northlincs.gov.uk",2
"www2.census.gov",2
"quashnet.er.usgs.gov",2
"sdms.ak.blm.gov",2
"climate-adapt.eea.europa.eu",2
"www.nhcpara.noaa.gov",1
"www.gogeo.ac.uk",1
"ebola-data.un.org",1
"www.nhc.noaa.gov",1
"ca.water.usgs.gov",1
"nosdataexplorer.noaa.gov",1
"www.usanpn.org",1
"www.nationalatlas.gov",1
"repository.si.edu",1
"fce.lternet.edu",1
"alaska.usgs.gov",1
"d1opzmrrdjgef4.cloudfront.net",1
"data.arcticatlas.org",1
"sco.wisc.edu",1
"www1.ncdc.noaa.gov",1
"gis.apfo.usda.gov",1
"fcelter.fiu.edu",1
"www.sccoos.org",1
