"host","avg_hrefs"
"dataxfer.stanford.edu",20.33
"data.ioos.us",19.50
"osmc.noaa.gov",18.69
"upwell.pfeg.noaa.gov",18.59
"www1.usgs.gov",18.50
"bluehub.jrc.ec.europa.eu",18.24
"coastwatch.pfeg.noaa.gov",18.10
"ecowatch.ncddc.noaa.gov",17.55
"data.nanoos.org",17.23
"pacioos-mapserver2.ancl.hawaii.edu",17.13
"vislab-ccom.unh.edu",13.00
"oos.soest.hawaii.edu",12.32
"www.charts.noaa.gov",11.73
"donnees.ec.gc.ca",9.00
"gstore.unm.edu",8.58
"data.daff.gov.au",7.43
"data.gov.au",7.09
"data.fao.org",7.00
"data.doi.gov",6.15
"ecco2.jpl.nasa.gov",6.00
"www.ngdc.noaa.gov",5.73
"www.nodc.noaa.gov",5.59
"www.nauticalcharts.noaa.gov",5.50
"www.lehendakaritza.ejgv.euskadi.eus",5.42
"gnis.usgs.gov",5.00
"geonames.usgs.gov",5.00
"opendata.euskadi.eus",4.63
"www.euskadi.eus",4.55
"wis.wmo.int",4.00
"www.cob.org",4.00
"www.datanorthyorkshire.org",4.00
"data.nodc.noaa.gov",3.07
"www.aeic.alaska.edu",3.00
"www.cisn.org",3.00
"www2.geog.ucl.ac.uk",3.00
"comcat.cr.usgs.gov",3.00
"www.add.scar.org",3.00
"www.quake.utah.edu",3.00
"earthquake.usgs.gov",3.00
"www.seis.utah.edu",3.00
"www.seismo.unr.edu",3.00
"discomap.eea.europa.eu",3.00
"water.usgs.gov",2.98
"geo-nsdi.er.usgs.gov",2.89
"maps.bristol.gov.uk",2.80
"data.noaa.gov",2.80
"sedac.ciesin.columbia.edu",2.67
"docs.lib.noaa.gov",2.60
"geology.usgs.gov",2.50
"arcticlcc.org",2.48
"mrdata.usgs.gov",2.37
"nrdata.nps.gov",2.37
"edg.epa.gov",2.26
"cloud.insideidaho.org",2.18
"locationmde.data.gov.uk",2.13
"data-search.nerc.ac.uk",2.09
"webarchive.nationalarchives.gov.uk",2.04
"woodshole.er.usgs.gov",2.03
"data.usgs.gov",2.03
"ecco.jpl.nasa.gov",2.00
"partnerdataexport.ccw.gov.uk",2.00
"cida.usgs.gov",2.00
"vogis.cnv.at",2.00
"hdsc.nws.noaa.gov",2.00
"www.seadatanet.org",2.00
"inspire.halton.gov.uk",2.00
"geoport.whoi.edu",2.00
"cmgds.marine.usgs.gov",2.00
"gsics.eumetsat.int",2.00
"maps.northlincs.gov.uk",2.00
"ferret.pmel.noaa.gov",2.00
"stellwagen.er.usgs.gov",2.00
"www.salford.gov.uk",2.00
"climate-adapt.eea.europa.eu",2.00
"sdms.ak.blm.gov",2.00
"edgar.jrc.ec.europa.eu",2.00
"quashnet.er.usgs.gov",2.00
"www.idaholidar.org",2.00
"www.sitr.regione.sicilia.it",2.00
"sofia.usgs.gov",1.98
"data.boisestate.edu",1.98
"catalog.data.gov",1.93
"mcm.lternet.edu",1.93
"www.admiralty.co.uk",1.89
"www.insideidaho.org",1.88
"gar.lternet.edu",1.85
"pubs.usgs.gov",1.82
"olga.er.usgs.gov",1.80
"www.coris.noaa.gov",1.80
"coast.noaa.gov",1.76
"sofia.er.usgs.gov",1.56
"taskman.eionet.europa.eu",1.50
"www.srs.fs.usda.gov",1.50
"www.beacons-npa.gov.uk",1.50
"nsidc.org",1.50
"akenergyinventory.org",1.50
"seakgis03.alaska.edu",1.50
"www.data.gouv.fr",1.50
"meta.geo.census.gov",1.45
"portal.oceannet.org",1.45
"insideidaho.org",1.44
"www.aoncadis.org",1.42
"mms.gina.alaska.edu",1.40
"map.richmond.gov.uk",1.33
"www.rijkswaterstaat.nl",1.33
"www.idwr.idaho.gov",1.30
"cugirmetadata.mannlib.cornell.edu",1.27
"sflwww.er.usgs.gov",1.26
"gis.breconbeacons.org",1.25
"www.oregon.gov",1.25
"www.usgs.gov",1.25
"cteco.uconn.edu",1.23
"sero.nmfs.noaa.gov",1.19
"www.sofia.usgs.gov",1.17
"www.pasda.psu.edu",1.16
"maps.derby.gov.uk",1.14
"mslapps.mt.gov",1.13
"www.fgdl.org",1.12
"gisdata.nd.gov",1.12
"repository.stategeothermaldata.org",1.12
"data.satapps.org",1.05
"inport.nmfs.noaa.gov",1.03
"www.ncddc.noaa.gov",1.03
"www.earthsystemgrid.org",1.01
"www.fws.gov",1.00
"ebola-data.un.org",1.00
"geo.azmag.gov",1.00
"www.streamnet.org",1.00
"www.esrp.org",1.00
"www.granit.sr.unh.edu",1.00
"isgs.illinois.edu",1.00
"d1opzmrrdjgef4.cloudfront.net",1.00
"ca.water.usgs.gov",1.00
"www.nhcpara.noaa.gov",1.00
"geoportal.utc.edu",1.00
"217.23.233.67",1.00
"www.isgs.uiuc.edu",1.00
"datapoint.metoffice.gov.uk",1.00
"www.nhc.noaa.gov",1.00
"repository.si.edu",1.00
"www1.ncdc.noaa.gov",1.00
"cdip.ucsd.edu",1.00
"opendata.thessaloniki.gr",1.00
"www.isgs.illinois.edu",1.00
"www.usanpn.org",1.00
"www.envirobase.usgs.gov",1.00
"coastal.er.usgs.gov",1.00
"www.nationalatlas.gov",1.00
"dcsu059g9fk65.cloudfront.net",1.00
"map.demac.udel.edu",1.00
"fce.lternet.edu",1.00
"sco.wisc.edu",1.00
"or.water.usgs.gov",1.00
"alaska.usgs.gov",1.00
"www.cormp.org",1.00
"www.cteco.uconn.edu",1.00
"www2.census.gov",1.00
"data.arcticatlas.org",1.00
"metadata.lumcon.edu",1.00
"www.edc.uri.edu",1.00
"www.geoportal.rlp.de",1.00
"www.gogeo.ac.uk",1.00
"nosdataexplorer.noaa.gov",1.00
"www.nmfs.noaa.gov",1.00
"www.geoviqua.org",1.00
"ccom.unh.edu",1.00
"www.marine-geo.org",1.00
"fcelter.fiu.edu",1.00
"rmgsc.cr.usgs.gov",1.00
"www.eea.europa.eu",1.00
"www.sccoos.org",1.00
"gis.apfo.usda.gov",1.00
