"host","status_code","num_per_status"
"217.23.233.67",400,2
"217.23.233.67",1000,1
"akenergyinventory.org",300,3
"alaska.usgs.gov",300,1
"arcticlcc.org",200,116
"arcticlcc.org",300,24
"arcticlcc.org",400,6
"arcticlcc.org",1000,3
"bluehub.jrc.ec.europa.eu",200,4680
"bluehub.jrc.ec.europa.eu",400,280
"catalog.data.gov",200,6852
"catalog.data.gov",300,1256
"catalog.data.gov",400,1809
"catalog.data.gov",500,66
"catalog.data.gov",1000,1528
"ca.water.usgs.gov",1000,1
"ccom.unh.edu",200,25
"ccom.unh.edu",300,2
"cdip.ucsd.edu",200,96
"cida.usgs.gov",200,2
"cida.usgs.gov",300,2
"climate-adapt.eea.europa.eu",200,1
"climate-adapt.eea.europa.eu",400,1
"cloud.insideidaho.org",200,40
"cloud.insideidaho.org",300,13
"cloud.insideidaho.org",400,51
"cloud.insideidaho.org",1000,38
"cmgds.marine.usgs.gov",200,4
"coastal.er.usgs.gov",200,4
"coast.noaa.gov",200,120
"coast.noaa.gov",300,50
"coast.noaa.gov",400,30
"coast.noaa.gov",1000,117
"coastwatch.pfeg.noaa.gov",200,8267
"coastwatch.pfeg.noaa.gov",300,46
"coastwatch.pfeg.noaa.gov",500,85
"coastwatch.pfeg.noaa.gov",1000,3509
"comcat.cr.usgs.gov",400,57
"cteco.uconn.edu",200,2
"cteco.uconn.edu",300,26
"cteco.uconn.edu",1000,4
"cugirmetadata.mannlib.cornell.edu",200,13
"cugirmetadata.mannlib.cornell.edu",1000,6
"d1opzmrrdjgef4.cloudfront.net",200,1
"data.arcticatlas.org",200,1
"data.boisestate.edu",200,11
"data.boisestate.edu",300,29
"data.boisestate.edu",400,43
"data.boisestate.edu",1000,2
"data.daff.gov.au",200,144
"data.daff.gov.au",300,12
"data.daff.gov.au",400,15
"data.doi.gov",200,38
"data.doi.gov",300,10
"data.doi.gov",400,17
"data.doi.gov",500,1
"data.doi.gov",1000,334
"data.fao.org",200,5
"data.fao.org",300,2
"data.gov.au",200,68
"data.gov.au",300,34
"data.gov.au",400,1
"data.gov.au",1000,60
"data.ioos.us",200,7173
"data.ioos.us",1000,3
"data.nanoos.org",200,725
"data.nanoos.org",400,33
"data.noaa.gov",200,2029
"data.noaa.gov",300,526
"data.noaa.gov",400,126
"data.noaa.gov",500,2
"data.noaa.gov",1000,364
"data.nodc.noaa.gov",200,13
"data.nodc.noaa.gov",300,197
"data.nodc.noaa.gov",1000,100
"datapoint.metoffice.gov.uk",200,20
"datapoint.metoffice.gov.uk",400,5
"data.satapps.org",200,23
"data.satapps.org",300,10
"data.satapps.org",400,5
"data.satapps.org",1000,1
"data-search.nerc.ac.uk",200,1027
"data-search.nerc.ac.uk",300,170
"data-search.nerc.ac.uk",400,21
"data-search.nerc.ac.uk",500,2
"data-search.nerc.ac.uk",1000,40
"data.usgs.gov",200,1394
"data.usgs.gov",300,92
"data.usgs.gov",400,95
"data.usgs.gov",500,9
"data.usgs.gov",1000,95
"dataxfer.stanford.edu",200,154
"dataxfer.stanford.edu",400,23
"dataxfer.stanford.edu",1000,6
"dcsu059g9fk65.cloudfront.net",200,5
"discomap.eea.europa.eu",200,2
"discomap.eea.europa.eu",300,1
"docs.lib.noaa.gov",300,7
"docs.lib.noaa.gov",1000,6
"donnees.ec.gc.ca",200,8
"donnees.ec.gc.ca",300,4
"donnees.ec.gc.ca",1000,24
"earthquake.usgs.gov",200,961
"earthquake.usgs.gov",300,610
"earthquake.usgs.gov",400,6913
"earthquake.usgs.gov",1000,66
"ebola-data.un.org",1000,1
"ecco2.jpl.nasa.gov",200,5
"ecco2.jpl.nasa.gov",1000,55
"ecco.jpl.nasa.gov",200,147
"ecco.jpl.nasa.gov",300,147
"ecowatch.ncddc.noaa.gov",200,2668
"edgar.jrc.ec.europa.eu",200,4
"edg.epa.gov",200,41
"edg.epa.gov",300,85
"edg.epa.gov",400,16
"edg.epa.gov",1000,30
"fcelter.fiu.edu",1000,1
"fce.lternet.edu",1000,1
"ferret.pmel.noaa.gov",200,11
"ferret.pmel.noaa.gov",300,14
"ferret.pmel.noaa.gov",1000,3
"gar.lternet.edu",200,37
"geo.azmag.gov",1000,10
"geology.usgs.gov",200,4
"geology.usgs.gov",1000,1
"geonames.usgs.gov",200,1
"geonames.usgs.gov",400,1
"geonames.usgs.gov",1000,3
"geo-nsdi.er.usgs.gov",200,17
"geo-nsdi.er.usgs.gov",300,7
"geo-nsdi.er.usgs.gov",1000,2
"geoportal.utc.edu",200,23
"geoport.whoi.edu",200,95
"geoport.whoi.edu",300,112
"geoport.whoi.edu",500,11
"geoport.whoi.edu",1000,6
"gis.apfo.usda.gov",200,1
"gis.breconbeacons.org",300,1
"gis.breconbeacons.org",400,4
"gisdata.nd.gov",200,2
"gisdata.nd.gov",300,1
"gisdata.nd.gov",400,3
"gisdata.nd.gov",1000,32
"gnis.usgs.gov",200,1
"gnis.usgs.gov",400,1
"gnis.usgs.gov",1000,3
"gsics.eumetsat.int",200,6
"gsics.eumetsat.int",300,10
"gsics.eumetsat.int",400,4
"gstore.unm.edu",200,5025
"gstore.unm.edu",300,85
"gstore.unm.edu",500,9
"gstore.unm.edu",1000,19
"hdsc.nws.noaa.gov",1000,44
"inport.nmfs.noaa.gov",200,770
"inport.nmfs.noaa.gov",300,3
"inport.nmfs.noaa.gov",400,14
"inport.nmfs.noaa.gov",500,5
"inport.nmfs.noaa.gov",1000,12
"insideidaho.org",200,16
"insideidaho.org",300,2
"insideidaho.org",400,4
"insideidaho.org",1000,17
"inspire.halton.gov.uk",200,6
"isgs.illinois.edu",200,5
"isgs.illinois.edu",1000,5
"locationmde.data.gov.uk",200,274
"locationmde.data.gov.uk",300,7
"locationmde.data.gov.uk",400,15
"locationmde.data.gov.uk",1000,24
"map.demac.udel.edu",1000,12
"map.richmond.gov.uk",400,4
"maps.bristol.gov.uk",300,10
"maps.bristol.gov.uk",400,18
"maps.derby.gov.uk",200,8
"maps.northlincs.gov.uk",200,2
"mcm.lternet.edu",200,144
"mcm.lternet.edu",1000,1
"metadata.lumcon.edu",400,1
"metadata.lumcon.edu",1000,16
"meta.geo.census.gov",200,2391
"meta.geo.census.gov",300,56
"meta.geo.census.gov",400,56
