"host","count_w_doi","pct_w_doi","total_responses"
"observer.gsfc.nasa.gov",25,100.00,25
"www.geosci-instrum-method-data-syst.net",43,97.73,44
"www.earth-syst-sci-data.net",119,96.75,123
"www.icpsr.umich.edu",1757,95.96,1831
"www.earth-syst-sci-data-discuss.net",23,95.83,24
"api.gbif.org",276,95.83,288
"www.openaccessrepository.it",20,95.24,21
"oai.datacite.org",58,95.08,61
"esds.ac.uk",1086,94.52,1149
"www1.usgs.gov",577,94.13,613
"www.geosci-instrum-method-data-syst-discuss.net",14,93.33,15
"www.dlib.org",72,92.31,78
"data.bris.ac.uk",54,85.71,63
"schema.datacite.org",18,78.26,23
"athenaeum.libs.uga.edu",10,71.43,14
"opendata.cern.ch",53,55.21,96
"vtechworks.lib.vt.edu",35,54.69,64
"basepub.dauphine.fr",6,54.55,11
"solarphysics.livingreviews.org",6,54.55,11
"zenodo.org",618,51.50,1200
"www.zenodo.org",138,46.94,294
"nsidc.org",62,46.62,133
"mercury.ornl.gov",45,42.45,106
"astropedia.astrogeology.usgs.gov",35,41.67,84
"www.ess.uci.edu",100,40.98,244
"publicdatasets.data.npolar.no",22,40.74,54
"archiv.ub.uni-marburg.de",9,32.14,28
"www.icesi.edu.co",6,31.58,19
"www.ga.gov.au",31,30.10,103
"academiccommons.columbia.edu",5486,30.08,18241
"aura.abdn.ac.uk",9,30.00,30
"mospace.umsystem.edu",15,28.85,52
"www.mrg.upf.edu",9,27.27,33
"demo.ckan.org",15,27.27,55
"alaska.usgs.gov",12,26.67,45
"cseweb.ucsd.edu",6,23.08,26
"data.c3.uts.edu.au",4,22.22,18
"www.polardata.ca",5,20.83,24
"data.globalchange.gov",736,20.80,3538
"pds-smallbodies.astro.umd.edu",7,20.59,34
"e4ftl01.cr.usgs.gov",11264,20.34,55374
"www.ecn.ac.uk",3,20.00,15
"rsg.pml.ac.uk",9,19.57,46
"tropicaldatahub.org",5,19.23,26
"bd.org.tr",2,18.18,11
"www.esrl.noaa.gov",774,17.39,4452
"data.3tu.nl",1015,17.26,5879
"oregonstate.edu",4,16.67,24
"cida.usgs.gov",2,16.67,12
"www.marine-geo.org",5,16.13,31
