"tag","num"
"GranuleMetaDataFile/GranuleURMetaData/PSAs/PSA/PSAValue",11264
"dc/identifier",10354
"art/bm/refgrp/bibl/xrefbib/pubidlist/pubid",2741
"codeBook/stdyDscr/citation/holdings/@URI",2130
"article/back/ref-list/ref/mixed-citation",1924
"RDF/Description/sameAs/@resource",1890
"codeBook/stdyDscr/dataAccs/setAvail/accsPlac/@URI",1728
"OAI-PMH/ListRecords/record/metadata/dc/identifier",1579
"article/back/ref-list/ref/mixed-citation/ext-link/@href",1446
"RDF/Dataset/relation/Description/value",1205
"codeBook/stdyDscr/othrStdyMat/relPubl",1133
"OAI-PMH/ListRecords/record/metadata/crossref/journal/journal_article/citation_list/citation/@key",1060
"RDF/Description/Dataset/Description/Attribute/Description/Attribute/Description/value",901
"DIDL/Item/Item/Component/Resource/dc/identifier",760
"OAI-PMH/ListRecords/record/metadata/dc/relation",696
"metadata/idinfo/citation/citeinfo/onlink",619
"RDF/Description/references/@resource",556
"RDF/Description/cites/@resource",534
"mods/identifier",505
"RDF/item/identifier",463
"RDF/item/url",443
"Publications/publication/pdf-loc",394
"collection/record/datafield/subfield",354
"xml/records/record/electronic-resource-num/style",345
"xml/records/record/notes/style",344
"art/bm/refgrp/bibl/xrefbib/pubid",344
"metadata/idinfo/crossref/citeinfo/onlink",330
"dblpperson/r/inproceedings/ee",306
"mods/relatedItem/identifier",303
"eml/dataset/alternateIdentifier",277
"Spase/NumericalData/ResourceHeader/InformationURL/Description",275
"Product_Context/Reference_List/External_Reference/reference_text",255
"collection/dc/doi",239
"collection/dc/identifier",239
"RDF/Dataset/distribution/Distribution/accessURL/@resource",234
"RDF/Description/Dataset/Description/Attribute/Description/Attribute/Description/Attribute/Description/Attribute/Description/Attribute/Description/Attribute/Description/Attribute/Description/value",216
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetIdentifier/MD_Identifier/code/Anchor/@href",216
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink",211
"article/front/article-meta/article-id",206
"taxonx/taxonxHeader/mods/location/url",204
"Dataset/Attribute/Attribute/value",199
"resource/identifier",184
"document/mods/location/url",184
"Product_Context/Reference_List/External_Reference/description",180
"Product_Mission_PDS3/Reference_List/External_Reference/description",174
"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor/@href",174
"dblpperson/r/article/ee",174
"Dataset/Attribute/Attribute/Attribute/Attribute/Attribute/Attribute/Attribute/value",166
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL",164
"xml/records/record/urls/web-urls/url/style",157
"rss/channel/item/link",140
"MI_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL",133
"art/fm/bibl/xrefbib/pubidlist/pubid",121
"codeBook/stdyDscr/stdyInfo/abstract",118
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/otherConstraints/CharacterString",117
"eml/additionalMetadata/metadata/gbif/citation",110
"info/tag/@value",108
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr",108
"Product_Mission_PDS3/Reference_List/External_Reference/reference_text",106
"RDF/Description/url/@resource",104
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetIdentifier/MD_Identifier/code/Anchor",103
"RDF/InProceedings/url/@resource",102
"article/back/app-group/app/table-wrap/table/tgroup/tbody/row/entry/ext-link/@href",100
"codeBook/stdyDscr/dataAccs/useStmt/restrctn/ExtLink/@URI",98
"OAI-PMH/ListRecords/record/metadata/uketddc/identifier",98
"OAI-PMH/ListRecords/record/metadata/mods/identifier",98
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/useLimitation/CharacterString",97
"article/front/article-meta/abstract/p",91
"metadata/idinfo/crossref/citeinfo/othercit",91
"RDF/Description/hasPart/@resource",90
"OAI-PMH/GetRecord/record/metadata/dc/identifier",84
"catalog/pub/doi",80
