"tag","protocol","num"
"metadata/idinfo/crossref/citeinfo/onlink","FGDC",115
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","FGDC",113
"metadata/idinfo/descript/abstract","FGDC",50
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","FGDC",48
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","FGDC",41
"metadata/dataqual/lineage/procstep/procdesc","FGDC",27
"metadata/idinfo/datacred","FGDC",18
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/serinfo/issue","FGDC",17
"metadata/idinfo/citation/citeinfo/onlink","FGDC",11
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/accinstr","FGDC",9
"metadata/eainfo/overview/eadetcit","FGDC",9
"metadata/idinfo/descript/supplinf","FGDC",9
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/othercit","FGDC",4
"metadata/idinfo/crossref/citeinfo/title","FGDC",3
"metadata/distInfo/distTranOps/onLineSrc/linkage","FGDC",2
"metadata/dataqual/attracc/attraccr","FGDC",1
"metadata/dataqual/complete","FGDC",1
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/origin","FGDC",1
"metadata/dataqual/posacc/horizpa/horizpar","FGDC",1
"metadata/eainfo/detailed/attr/attrdef","FGDC",1
"metadata/eainfo/overview/eaover","FGDC",1
"metadata/idinfo/browse/browsen","FGDC",1
"metadata/idinfo/crossref/citeinfo/othercit","FGDC",1
"metadata/idinfo/useconst","FGDC",1
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/otherConstraints/CharacterString","ISO",114
"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor/@href","ISO",107
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/useLimitation/CharacterString","ISO",92
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetIdentifier/MD_Identifier/code/Anchor/@href","ISO",67
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetIdentifier/MD_Identifier/code/Anchor","ISO",63
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","ISO",49
"MI_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/description/CharacterString","ISO",27
"MI_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL","ISO",27
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","ISO",21
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL","ISO",15
"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor","ISO",15
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_Constraints/useLimitation/CharacterString","ISO",14
"MI_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/name/CharacterString","ISO",10
"MI_Metadata/identificationInfo/MD_DataIdentification/credit/CharacterString","ISO",10
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/identifier/MD_Identifier/code/CharacterString","ISO",9
