"host","num_identified_by_protocol","protocol","total_for_host"
"101.datascience.community",1,"""OpenSearch""",1
"107.20.228.18",2,"""OGC""",8
"160.111.248.29",1,"""OpenSearch""",1
"169.229.192.185",1,"""OpenSearch""",1
"16dayscwgl.rutgers.edu",1,"""OpenSearch""",1
"2013.igem.org",1,"""OpenSearch""",1
"217.23.233.67",3,"""ISO""",3
"aac.colostate.edu",1,"""OpenSearch""",1
"aberto.univem.edu.br",4,"""OAI-PMH""",23
"academicarchive.snhu.edu",1,"""OpenSearch""",9
"academicarchive.snhu.edu",3,"""OAI-PMH""",9
"academiccommons.columbia.edu",1,"""OpenSearch""",18241
"academiccommons.columbia.edu",1,"""OAI-PMH""",18241
"accesscenter.colostate.edu",1,"""OpenSearch""",1
"acdisc.gsfc.nasa.gov",377,"""UNIDATA""",4597
"acdisc.gsfc.nasa.gov",785,"""OPeNDAP""",4597
"acdisc.sci.gsfc.nasa.gov",306,"""UNIDATA""",3978
"acdisc.sci.gsfc.nasa.gov",279,"""OPeNDAP""",3978
"acdisc.sci.gsfc.nasa.gov",4,"""OGC""",3978
"acikarsiv.atilim.edu.tr",1,"""OAI-PMH""",2
"acm2008.cct.lsu.edu",1,"""OpenSearch""",1
"acm2012.cct.lsu.edu",1,"""OpenSearch""",1
"acm2012.scusa.lsu.edu",1,"""OpenSearch""",1
"acmw.rpi.edu",1,"""OpenSearch""",1
"actonmba.ufm.edu",1,"""OpenSearch""",1
"addons.mozilla.org",7,"""OpenSearch""",7
"admin.fedoraproject.org",2,"""OpenSearch""",2
"admissions.chem.ox.ac.uk",1,"""OpenSearch""",1
"admissions.colostate.edu",1,"""OpenSearch""",1
"ads.harvard.edu",1,"""OpenSearch""",1
"advanceddataanalytics.net",1,"""OpenSearch""",1
"advisingworks.wordpress.com",1,"""OpenSearch""",1
"aeon.stsci.edu",2,"""OpenSearch""",2
"afrec.opendataforafrica.org",1,"""OpenSearch""",1
"aful.org",1,"""OpenSearch""",1
"agriculturalwithdrlindsay.com",1,"""OpenSearch""",1
"ahc.caf.wvu.edu",1,"""OpenSearch""",1
