"protocol","host","match_type","count_w_type","pct_w_type","total_responses"
"FGDC","ecowatch.ncddc.noaa.gov","cooluri",38,50.00,76
"FGDC","data.ioos.us","cooluri",80,43.48,184
"FGDC","www.granit.sr.unh.edu","cooluri",22,34.38,64
"FGDC","map.demac.udel.edu","cooluri",2,10.53,19
"FGDC","insideidaho.org","cooluri",3,8.11,37
"FGDC","water.usgs.gov","cooluri",27,4.80,563
"FGDC","data.usgs.gov","cooluri",42,4.79,877
"FGDC","cloud.insideidaho.org","cooluri",4,4.76,84
"FGDC","www.insideidaho.org","cooluri",1,4.17,24
"FGDC","mslapps.mt.gov","cooluri",5,2.56,195
"FGDC","bluehub.jrc.ec.europa.eu","cooluri",3,2.21,136
"FGDC","catalog.data.gov","cooluri",61,2.00,3043
"FGDC","www.cteco.uconn.edu","cooluri",1,1.54,65
"FGDC","www.idwr.idaho.gov","cooluri",10,1.41,707
"FGDC","sofia.usgs.gov","cooluri",2,0.89,225
"FGDC","coastwatch.pfeg.noaa.gov","cooluri",2,0.62,325
"FGDC","www.fgdl.org","cooluri",1,0.58,171
"FGDC","pubs.usgs.gov","cooluri",10,0.36,2778
"FGDC","rmgsc.cr.usgs.gov","cooluri",1,0.09,1071
"FGDC","astropedia.astrogeology.usgs.gov","doi",35,97.22,36
"FGDC","water.usgs.gov","doi",65,11.55,563
"FGDC","www.nodc.noaa.gov","doi",4,10.53,38
"FGDC","sofia.usgs.gov","doi",20,8.89,225
"FGDC","woodshole.er.usgs.gov","doi",37,7.12,520
"FGDC","data.usgs.gov","doi",51,5.82,877
"FGDC","pubs.usgs.gov","doi",123,4.43,2778
"FGDC","mslapps.mt.gov","doi",6,3.08,195
"FGDC","edg.epa.gov","doi",3,2.27,132
"FGDC","www.ncddc.noaa.gov","doi",1,1.75,57
"FGDC","arcticlcc.org","doi",1,1.56,64
"FGDC","inport.nmfs.noaa.gov","doi",9,1.44,625
"FGDC","catalog.data.gov","doi",27,0.89,3043
"FGDC","mrdata.usgs.gov","doi",2,0.32,618
"FGDC","www.coris.noaa.gov","doi",1,0.24,425
"FGDC","www.usgs.gov","doi",2,0.18,1108
"FGDC","data.boisestate.edu","md5",46,42.20,109
"FGDC","www.landscape.blm.gov","md5",140,11.64,1203
"FGDC","data.doi.gov","md5",4,9.30,43
"FGDC","oos.soest.hawaii.edu","md5",18,7.20,250
