"tag","match_type","avg_ids"
"Capabilities/Contents/CoverageSummary/Metadata/@href","uuid",1.00
"Capabilities/Contents/ObservationOfferingList/ObservationOffering/featureOfInterest/@href","urn",1.00
"Capabilities/Contents/ObservationOfferingList/ObservationOffering/name","urn",326.00
"Capabilities/Contents/ObservationOfferingList/ObservationOffering/procedure/@href","urn",220.20
"Capabilities/OperationsMetadata/ExtendedCapabilities/Conformity/Specification/ResourceLocator/URL","urn",1.00
"Capabilities/OperationsMetadata/Operation/DCP/HTTP/Post/@href","cooluri",1.00
"Capabilities/OperationsMetadata/Operation/Parameter/AllowedValues/Value","urn",3.00
"Capabilities/OperationsMetadata/Operation/Parameter/Value","urn",1.00
"capabilities/urls/a/@cache","cooluri",2.00
"DescribeSensorResponse/description/SensorDescription/data/System/components/ComponentList/component/Component/identification/IdentifierList/identifier/@name","text",2.00
"DescribeSensorResponse/description/SensorDescription/data/System/components/ComponentList/component/Component/identification/IdentifierList/identifier/Term/value","text",472.00
"DescribeSensorResponse/description/SensorDescription/data/System/identification/IdentifierList/identifier/Term/value","text",1.00
"DIF/Data_Set_Citation/Dataset_DOI","doi",1.00
"DIF/Entry_ID","uuid",1.00
"DIF/Entry_ID","urn",1.00
"DIF/Entry_ID","text",1.00
"DIF/Reference","doi",4.00
"DIF/Related_URL/URL","doi",2.00
"DIF/Related_URL/URL","uuid",1.00
"DIF/Summary/Abstract","doi",2.00
"DIF/Summary/Abstract","urn",1.00
"DS_Series/seriesMetadata/MD_Metadata/fileIdentifier/CharacterString","text",1.00
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor","doi",1.00
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor/@actuate","text",1.00
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor/@href","doi",2.00
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",3.00
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/codeSpace/CharacterString","text",2.00
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/description/CharacterString","text",4.00
"eml/additionalMetadata/metadata/gbif/bibliography/citation","doi",1.50
"eml/additionalMetadata/metadata/gbif/bibliography/citation/@identifier","doi",1.00
"eml/additionalMetadata/metadata/gbif/citation","doi",1.77
"eml/additionalMetadata/metadata/gbif/citation/@identifier","doi",1.15
"eml/additionalMetadata/metadata/gbif/physical/distribution/online/url","uuid",1.00
"eml/additionalMetadata/metadata/gbif/replaces","uuid",1.00
"eml/dataset/abstract/section/para","doi",1.00
"eml/dataset/alternateIdentifier","doi",1.01
"eml/dataset/alternateIdentifier","uuid",1.00
"eml/dataset/coverage/geographicCoverage/geographicDescription","urn",2.00
"eml/dataset/coverage/geographicCoverage/geographicDescription","cooluri",1.00
"eml/dataset/dataTable/attributeList/attribute/attributeDefinition","cooluri",1.00
"eml/dataset/dataTable/attributeList/attribute/attributeDefinition","urn",1.00
"eml/dataset/dataTable/entityDescription","urn",1.50
"eml/dataset/distribution/online/url","md5",1.00
