"tag","match_type","num"
"Capabilities/Contents/CoverageSummary/Metadata/@href","uuid",40
"Capabilities/Contents/ObservationOfferingList/ObservationOffering/featureOfInterest/@href","urn",8
"Capabilities/Contents/ObservationOfferingList/ObservationOffering/name","urn",326
"Capabilities/Contents/ObservationOfferingList/ObservationOffering/procedure/@href","urn",2202
"Capabilities/OperationsMetadata/ExtendedCapabilities/Conformity/Specification/ResourceLocator/URL","urn",9
"Capabilities/OperationsMetadata/Operation/DCP/HTTP/Post/@href","cooluri",1
"Capabilities/OperationsMetadata/Operation/Parameter/AllowedValues/Value","urn",3
"Capabilities/OperationsMetadata/Operation/Parameter/Value","urn",3
"capabilities/urls/a/@cache","cooluri",2
"DescribeSensorResponse/description/SensorDescription/data/System/components/ComponentList/component/Component/identification/IdentifierList/identifier/@name","text",2
"DescribeSensorResponse/description/SensorDescription/data/System/components/ComponentList/component/Component/identification/IdentifierList/identifier/Term/value","text",472
"DescribeSensorResponse/description/SensorDescription/data/System/identification/IdentifierList/identifier/Term/value","text",1
"DIF/Data_Set_Citation/Dataset_DOI","doi",1
"DIF/Entry_ID","urn",88
"DIF/Entry_ID","uuid",4
"DIF/Entry_ID","text",3
"DIF/Reference","doi",4
"DIF/Related_URL/URL","uuid",124
"DIF/Related_URL/URL","doi",4
"DIF/Summary/Abstract","urn",4
"DIF/Summary/Abstract","doi",2
"DS_Series/seriesMetadata/MD_Metadata/fileIdentifier/CharacterString","text",106
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor","doi",25
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor/@actuate","text",25
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor/@href","doi",50
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",75
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/codeSpace/CharacterString","text",40
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/description/CharacterString","text",100
"eml/additionalMetadata/metadata/gbif/bibliography/citation","doi",6
"eml/additionalMetadata/metadata/gbif/bibliography/citation/@identifier","doi",3
"eml/additionalMetadata/metadata/gbif/citation","doi",110
"eml/additionalMetadata/metadata/gbif/citation/@identifier","doi",15
"eml/additionalMetadata/metadata/gbif/physical/distribution/online/url","uuid",7
"eml/additionalMetadata/metadata/gbif/replaces","uuid",13
"eml/dataset/abstract/section/para","doi",1
"eml/dataset/alternateIdentifier","doi",277
"eml/dataset/alternateIdentifier","uuid",38
"eml/dataset/coverage/geographicCoverage/geographicDescription","urn",10
"eml/dataset/coverage/geographicCoverage/geographicDescription","cooluri",1
"eml/dataset/dataTable/attributeList/attribute/attributeDefinition","cooluri",1
"eml/dataset/dataTable/attributeList/attribute/attributeDefinition","urn",1
"eml/dataset/dataTable/entityDescription","urn",3
"eml/dataset/distribution/online/url","md5",70
"eml/dataset/distribution/online/url","doi",3
"eml/dataset/@id","cooluri",88
"eml/dataset/maintenance/description/para/literalLayout","cooluri",1
"eml/dataset/methods/methodStep/description/para/literalLayout","doi",2
"eml/dataset/methods/methodStep/description/section/para/literalLayout","doi",2
"eml/@packageId","uuid",242
"GetRecordByIdResponse/DIF/Originating_Center","uuid",3
"GetRecordByIdResponse/entry/link/@href","uuid",3
"GetRecordByIdResponse/ExtrinsicObject/@lid","uuid",20
"GetRecordByIdResponse/MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL","doi",66
"GetRecordByIdResponse/MD_Metadata/fileIdentifier/CharacterString","uuid",132
"GetRecordByIdResponse/MD_Metadata/fileIdentifier/CharacterString","text",3
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",89
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","text",6
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/PT_FreeText/textGroup/LocalisedCharacterString","text",4
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/PT_FreeText/textGroup/LocalisedCharacterString/@locale","text",8
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/codeSpace/CharacterString","text",6
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/@type","text",4
"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/extent/EX_Extent/temporalElement/EX_TemporalExtent/extent/TimePeriod/@id","uuid",3
"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",10
