"tag","average_tokens","min_tokens","max_tokens"
"Abstract",19.03,1,3161
"Name",15.32,1,603
"AccessConstraints",8.01,1,288
"Keyword",6.90,1,111
"DeliveryPoint",5.69,1,11
"Address",5.66,1,11
"HoursOfService",4.35,1,24
"ProviderName",4.22,1,17
"ContactInstructions",3.64,1,16
"ContactOrganization",3.59,1,19
"ContactPerson",2.06,1,9
"ContactPosition",2.05,1,8
"IndividualName",2.04,1,9
"PositionName",2.03,1,4
"Title",2.01,1,21
"ContactVoiceTelephone",1.77,1,6
"ServiceType",1.77,1,2
"Voice",1.71,1,5
"AddressType",1.60,1,5
"ContactFacsimileTelephone",1.54,1,6
"Facsimile",1.43,1,5
"PostalCode",1.10,1,4
"ServiceTypeVersion",1.10,1,4
"PostCode",1.08,1,2
"ElectronicMailAddress",1.06,1,5
"Country",1.06,1,4
"City",1.04,1,3
"StateOrProvince",1.03,1,3
"AdministrativeArea",1.03,1,2
"Fees",1.01,1,3
"@href",1.00,1,2
"ContactElectronicMailAddress",1.00,1,1
