"status","num","months"
200,104,"2014-07-01"
300,9,"2014-07-01"
400,8,"2014-07-01"
900,9,"2014-07-01"
200,497,"2014-10-01"
300,104,"2014-10-01"
400,41,"2014-10-01"
500,26,"2014-10-01"
900,46,"2014-10-01"
200,230,"2015-03-01"
300,30,"2015-03-01"
400,54,"2015-03-01"
500,28,"2015-03-01"
900,20,"2015-03-01"
200,538,"2015-06-01"
300,12,"2015-06-01"
400,4,"2015-06-01"
500,67,"2015-06-01"
900,21,"2015-06-01"
200,1126,"2015-07-01"
300,20,"2015-07-01"
400,14,"2015-07-01"
500,133,"2015-07-01"
900,44,"2015-07-01"
200,782,"2015-08-01"
300,13,"2015-08-01"
400,7,"2015-08-01"
500,9,"2015-08-01"
900,25,"2015-08-01"
200,513,"2015-09-01"
300,13,"2015-09-01"
400,2,"2015-09-01"
500,11,"2015-09-01"
900,48,"2015-09-01"
