"search_url","accept_type","url","search_rel_osdd"
"http://barsummit.org/?feed=atom&s=","application/atom+xml","http://barsummit.org/osd.xml","http://seaoscsummit.org/osd.xml"
"http://barsummit.org/?feed=rss2&s=","application/rss+xml","http://barsummit.org/osd.xml","http://seaoscsummit.org/osd.xml"
"http://blog.wikimedia.org/?feed=atom&s=","application/atom+xml","https://blog.wikimedia.org/osd.xml","http://blog.wikimedia.org/osd.xml"
"http://blog.wikimedia.org/?feed=rss2&s=","application/rss+xml","https://blog.wikimedia.org/osd.xml","http://blog.wikimedia.org/osd.xml"
"http://caspian.iwlearn.org/opensearch_atom.xml?b_size%3Aint=5&SearchableText=","application/atom+xml","http://caspian.iwlearn.org/@@opensearch_description.xml","http://caspian.iwlearn.org/opensearch_description.xml"
"http://caspian.iwlearn.org/opensearch_rss.xml?b_size%3Aint=5&SearchableText=","application/rss+xml","http://caspian.iwlearn.org/@@opensearch_description.xml","http://caspian.iwlearn.org/opensearch_description.xml"
"http://chroniclingamerica.loc.gov/search/titles/results/?count=5&terms=&format=atom","application/atom+xml","http://chroniclingamerica.loc.gov/search/titles/opensearch.xml","/search/pages/opensearch.xml"
"http://core.tdar.org/search/rss?query=","application/atom+xml","http://core.tdar.org/opensearch.xml","http://core.tdar.org/includes/opensearch.xml"
"http://eo-virtual-archive4.esa.int/search/atom/?count=5&q=","application/atom+xml","http://eo-virtual-archive4.esa.int/search/description","http://eo-virtual-archive4.esa.int/search/ASA_IM__0P/description/"
"http://eo-virtual-archive4.esa.int/search/atom/?count=5&q=","application/atom+xml","http://eo-virtual-archive4.esa.int/search/description","http://eo-virtual-archive4.esa.int/search/ER01_SAR_IM__0P/description/"
"http://eo-virtual-archive4.esa.int/search/atom/?count=5&q=","application/atom+xml","http://eo-virtual-archive4.esa.int/search/description","http://eo-virtual-archive4.esa.int/search/ER02_SAR_IM__0P/description/"
