"host","count_w_lineage","count_wo_lineage"
"catalog.data.gov",3293,4637
"earthquake.usgs.gov",2850,0
"pubs.usgs.gov",2711,67
"gisdata.nd.gov",2066,1
"meta.geo.census.gov",1729,46
"www.landscape.blm.gov",1203,0
"coast.noaa.gov",1018,250
"rmgsc.cr.usgs.gov",979,92
"data.usgs.gov",805,72
"www.idwr.idaho.gov",653,54
"www.coris.noaa.gov",611,77
"mrdata.usgs.gov",599,42
"gstore.unm.edu",594,406
"inport.nmfs.noaa.gov",582,819
"water.usgs.gov",563,0
"woodshole.er.usgs.gov",496,24
"data.noaa.gov",392,1190
"ec.gc.ca",374,0
"coastwatch.pfeg.noaa.gov",325,333
"www.seismo.unr.edu",290,0
"walrus.wr.usgs.gov",235,3
"sofia.usgs.gov",224,1
"www.ncddc.noaa.gov",223,149
"nrdata.nps.gov",219,0
"www.pasda.psu.edu",187,6
"data.ioos.us",184,184
"www.fgdl.org",171,0
"oos.soest.hawaii.edu",154,424
"bluehub.jrc.ec.europa.eu",136,136
"edg.epa.gov",127,72
"upwell.pfeg.noaa.gov",124,119
"cugirmetadata.mannlib.cornell.edu",113,1
"mslapps.mt.gov",107,88
"www.aeic.alaska.edu",96,0
"cdip.ucsd.edu",96,0
"www.cob.org",91,1
"www.ngdc.noaa.gov",90,906
"www.isgs.illinois.edu",87,5
"www.isgs.uiuc.edu",87,4
"cloud.insideidaho.org",76,8
"ecowatch.ncddc.noaa.gov",76,76
"mcm.lternet.edu",74,2
"isgs.illinois.edu",68,2
"data.boisestate.edu",68,45
"www.granit.sr.unh.edu",64,0
"www.cteco.uconn.edu",64,1
"arcticlcc.org",64,1
"seakgis03.alaska.edu",56,22
"cteco.uconn.edu",55,8
"data.ulm.de",46,0
"www.idaholidar.org",45,0
"www.srs.fs.usda.gov",45,14
"dot.ca.gov",44,0
"data.fs.usda.gov",42,69
"sero.nmfs.noaa.gov",41,0
"maps.indiana.edu",40,0
"astropedia.astrogeology.usgs.gov",36,0
"data.doi.gov",36,50
"map.sdsu.edu",32,1
"www.epa.gov",31,1
"insideidaho.org",29,8
"osmc.noaa.gov",27,27
"www.seis.utah.edu",27,0
"ccom.unh.edu",27,0
"metadata.lumcon.edu",26,0
"www.envirobase.usgs.gov",25,0
"www.insideidaho.org",24,0
"geoportal.utc.edu",24,1
"sflwww.er.usgs.gov",23,0
"www.sofia.usgs.gov",23,0
"data.nanoos.org",22,22
"hdsc.nws.noaa.gov",22,0
"gar.lternet.edu",20,0
"comcat.cr.usgs.gov",19,0
"neptune.nceas.ucsb.edu",18,1
"map.demac.udel.edu",17,2
"www.streamnet.org",16,2
"www.cisn.org",15,0
"www.edc.uri.edu",15,0
