"host","lineage_type","count"
"217.23.233.67","Statement",3
"arcticlcc.org","No Lineage",1
"bluehub.jrc.ec.europa.eu","No Lineage",13
"bluehub.jrc.ec.europa.eu","Statement",123
"catalog.data.gov","No Lineage",3934
"catalog.data.gov","Processing Steps",767
"catalog.data.gov","Statement",186
"catalogue.datalocale.fr","Statement",1
"ca.water.usgs.gov","No Lineage",1
"cida.usgs.gov","Statement",2
"climate-adapt.eea.europa.eu","Statement",1
"coast.noaa.gov","No Lineage",234
"coastwatch.pfeg.noaa.gov","No Lineage",78
"coastwatch.pfeg.noaa.gov","Statement",255
"crack.seismo.unr.edu","No Lineage",3
"crack.seismo.unr.edu","Processing Steps",7
"d1opzmrrdjgef4.cloudfront.net","No Lineage",1
"data.boisestate.edu","No Lineage",4
"data.daff.gov.au","No Lineage",5
"data.daff.gov.au","Statement",18
"data.doi.gov","No Lineage",43
"data.fao.org","Statement",1
"data.gov.au","No Lineage",17
"data.gov.au","Statement",7
"data.ioos.us","Statement",184
"data.nanoos.org","No Lineage",18
"data.nanoos.org","Statement",4
"data.noaa.gov","No Lineage",985
"data.noaa.gov","Processing Steps",83
"data.noaa.gov","Statement",176
"data.nodc.noaa.gov","No Lineage",101
"data.ottawa.ca","No Lineage",6
"data.ottawa.ca","Statement",1
"datapoint.metoffice.gov.uk","Statement",25
"data.satapps.org","Statement",37
"data-search.nerc.ac.uk","No Lineage",10
"data-search.nerc.ac.uk","Statement",678
"data.ulm.de","Processing Steps",46
"dataxfer.stanford.edu","No Lineage",4
"dcsu059g9fk65.cloudfront.net","Statement",5
"discomap.eea.europa.eu","Statement",1
"docs.lib.noaa.gov","No Lineage",2
"donnees.ec.gc.ca","No Lineage",5
"ecco.jpl.nasa.gov","Statement",147
"ecowatch.ncddc.noaa.gov","No Lineage",2
"ecowatch.ncddc.noaa.gov","Statement",74
"edgar.jrc.ec.europa.eu","Statement",2
"edg.epa.gov","Statement",67
"epa.gov","No Lineage",1
"ferret.pmel.noaa.gov","No Lineage",1
"ferret.pmel.noaa.gov","Statement",15
"gar.lternet.edu","Processing Steps",20
"geoport.whoi.edu","No Lineage",45
"geoport.whoi.edu","Statement",67
"gis.breconbeacons.org","No Lineage",1
"gis.breconbeacons.org","Statement",3
"gisdata.nd.gov","No Lineage",1
