"protocol","published","count_w_lineage","count_wo_lineage"
"""FGDC""","1900-01-01",4,0
"""ISO""","1900-01-01",0,1
"""FGDC""","1964-03-01",1,0
"""FGDC""","1973-08-01",8,0
"""FGDC""","1973-09-01",2,0
"""FGDC""","1973-10-01",5,0
"""FGDC""","1973-11-01",6,0
"""FGDC""","1973-12-01",11,0
"""FGDC""","1974-08-01",8,0
"""FGDC""","1974-09-01",5,0
"""FGDC""","1974-10-01",5,0
"""FGDC""","1974-11-01",2,0
"""FGDC""","1974-12-01",1,0
"""FGDC""","1975-07-01",2,0
"""FGDC""","1975-08-01",3,0
"""FGDC""","1975-09-01",4,0
"""FGDC""","1975-10-01",9,0
"""FGDC""","1975-11-01",6,0
"""FGDC""","1975-12-01",5,0
"""FGDC""","1976-08-01",1,0
"""FGDC""","1976-09-01",8,0
"""FGDC""","1976-10-01",6,0
"""FGDC""","1976-11-01",9,0
"""FGDC""","1976-12-01",4,0
"""FGDC""","1977-10-01",6,0
"""FGDC""","1977-11-01",9,0
"""FGDC""","1977-12-01",11,0
"""FGDC""","1978-06-01",1,0
"""FGDC""","1978-07-01",6,0
"""FGDC""","1978-08-01",8,0
"""FGDC""","1978-09-01",7,0
"""FGDC""","1978-10-01",1,0
"""FGDC""","1978-11-01",8,0
"""FGDC""","1978-12-01",3,0
"""FGDC""","1979-09-01",4,0
"""FGDC""","1979-10-01",13,0
"""FGDC""","1979-11-01",6,0
"""FGDC""","1979-12-01",7,0
"""FGDC""","1980-09-01",7,0
"""FGDC""","1980-10-01",9,0
"""FGDC""","1980-11-01",10,0
"""FGDC""","1980-12-01",8,0
"""FGDC""","1981-07-01",4,0
"""FGDC""","1981-08-01",1,0
"""FGDC""","1981-09-01",6,0
"""FGDC""","1981-10-01",7,0
"""FGDC""","1981-11-01",6,0
"""FGDC""","1981-12-01",3,0
"""FGDC""","1982-08-01",6,0
"""FGDC""","1982-09-01",6,0
"""FGDC""","1982-10-01",6,0
"""FGDC""","1982-11-01",5,0
"""FGDC""","1982-12-01",9,0
"""FGDC""","1983-05-01",2,0
"""FGDC""","1983-10-01",12,0
"""FGDC""","1983-11-01",10,0
"""FGDC""","1983-12-01",9,0
"""FGDC""","1984-08-01",6,0
"""FGDC""","1984-09-01",4,0
"""FGDC""","1984-10-01",7,0
"""FGDC""","1984-11-01",8,0
"""FGDC""","1984-12-01",4,0
"""FGDC""","1985-09-01",6,0
"""FGDC""","1985-10-01",5,0
"""FGDC""","1985-11-01",4,0
"""FGDC""","1985-12-01",10,0
"""ISO""","1986-01-01",0,1
"""FGDC""","1986-08-01",8,0
"""FGDC""","1986-09-01",6,0
"""FGDC""","1986-10-01",8,0
"""FGDC""","1986-11-01",7,0
"""FGDC""","1986-12-01",5,1
"""ISO""","1986-12-01",0,1
"""FGDC""","1987-08-01",4,0
"""FGDC""","1987-09-01",12,0
"""FGDC""","1987-10-01",6,0
"""FGDC""","1987-11-01",7,0
"""FGDC""","1987-12-01",7,0
"""FGDC""","1988-09-01",5,0
"""FGDC""","1988-10-01",3,0
"""FGDC""","1988-11-01",11,0
"""FGDC""","1988-12-01",9,0
"""FGDC""","1989-09-01",6,0
"""FGDC""","1989-10-01",9,0
"""FGDC""","1989-11-01",12,0
"""FGDC""","1989-12-01",7,0
"""FGDC""","1990-01-01",3,0
"""ISO""","1990-01-01",0,2
"""FGDC""","1990-10-01",5,0
"""FGDC""","1990-11-01",13,0
"""FGDC""","1990-12-01",16,0
"""FGDC""","1991-08-01",4,0
"""FGDC""","1991-09-01",3,0
"""FGDC""","1991-10-01",5,0
"""FGDC""","1991-11-01",7,0
"""FGDC""","1991-12-01",4,0
"""FGDC""","1992-06-01",1,0
"""FGDC""","1992-09-01",1,0
"""FGDC""","1992-10-01",14,0
"""ISO""","1992-10-01",0,2
"""FGDC""","1992-11-01",6,0
"""FGDC""","1992-12-01",6,0
"""FGDC""","1993-04-01",0,1
"""ISO""","1993-04-01",0,2
"""FGDC""","1993-09-01",3,0
"""FGDC""","1993-10-01",13,0
"""FGDC""","1993-11-01",7,0
"""FGDC""","1993-12-01",9,0
"""ISO""","1993-12-01",0,1
"""FGDC""","1994-01-01",1,0
"""FGDC""","1994-03-01",2,0
"""ISO""","1994-03-01",0,1
"""FGDC""","1994-06-01",1,0
"""FGDC""","1994-09-01",1,0
"""FGDC""","1994-10-01",11,0
"""FGDC""","1994-11-01",6,0
"""FGDC""","1994-12-01",9,0
"""FGDC""","1995-06-01",1,0
"""FGDC""","1995-10-01",8,0
"""FGDC""","1995-11-01",15,0
"""FGDC""","1995-12-01",9,0
"""FGDC""","1996-04-01",10,0
"""ISO""","1996-04-01",0,2
"""FGDC""","1996-10-01",7,0
"""FGDC""","1996-11-01",18,0
"""FGDC""","1996-12-01",9,0
"""FGDC""","1997-01-01",0,1
"""FGDC""","1997-02-01",2,0
"""FGDC""","1997-04-01",1,0
"""ISO""","1997-04-01",0,1
"""FGDC""","1997-08-01",5,0
"""FGDC""","1997-09-01",6,0
"""FGDC""","1997-10-01",11,0
"""ISO""","1997-10-01",0,1
"""FGDC""","1997-11-01",10,0
"""FGDC""","1997-12-01",8,0
"""ISO""","1997-12-01",0,2
"""ISO""","1998-01-01",0,2
"""FGDC""","1998-03-01",7,0
"""ISO""","1998-03-01",0,6
"""FGDC""","1998-04-01",1,0
"""FGDC""","1998-05-01",3,0
"""FGDC""","1998-06-01",4,0
"""FGDC""","1998-07-01",192,0
"""ISO""","1998-07-01",0,99
"""FGDC""","1998-08-01",3,0
"""FGDC""","1998-09-01",16,1
"""ISO""","1998-09-01",0,3
"""FGDC""","1998-10-01",30,0
"""ISO""","1998-10-01",0,9
"""FGDC""","1998-11-01",7,0
"""FGDC""","1998-12-01",11,0
"""FGDC""","1999-01-01",2,1
"""ISO""","1999-01-01",0,4
"""FGDC""","1999-02-01",16,0
"""FGDC""","1999-03-01",2,1
"""FGDC""","1999-04-01",2,0
"""FGDC""","1999-05-01",6,0
"""ISO""","1999-05-01",0,1
"""FGDC""","1999-06-01",2,1
"""ISO""","1999-06-01",0,1
"""FGDC""","1999-07-01",7,0
"""FGDC""","1999-09-01",1,0
"""FGDC""","1999-10-01",4,0
"""ISO""","1999-10-01",0,2
"""FGDC""","1999-11-01",10,1
"""ISO""","1999-11-01",0,2
"""FGDC""","1999-12-01",18,0
"""ISO""","1999-12-01",0,3
"""FGDC""","2000-01-01",14,0
"""ISO""","2000-01-01",0,1
"""FGDC""","2000-02-01",1,2
"""FGDC""","2000-03-01",2,0
"""FGDC""","2000-04-01",3,0
"""FGDC""","2000-05-01",1,0
"""FGDC""","2000-07-01",7,0
"""ISO""","2000-07-01",0,8
"""FGDC""","2000-08-01",2,0
"""ISO""","2000-08-01",0,2
"""FGDC""","2000-10-01",7,0
"""ISO""","2000-10-01",0,2
"""FGDC""","2000-11-01",16,0
"""FGDC""","2000-12-01",10,0
"""FGDC""","2001-01-01",10,0
"""ISO""","2001-01-01",0,1
"""FGDC""","2001-02-01",1,0
"""FGDC""","2001-03-01",3,0
"""ISO""","2001-03-01",0,1
"""FGDC""","2001-04-01",4,0
"""ISO""","2001-04-01",0,4
"""FGDC""","2001-05-01",13,0
"""ISO""","2001-05-01",0,8
"""FGDC""","2001-06-01",5,0
"""ISO""","2001-06-01",0,2
"""FGDC""","2001-07-01",3,0
"""ISO""","2001-07-01",0,1
"""FGDC""","2001-08-01",3,0
