"protocol","published","count_w_lineage","count_wo_lineage","pct_of_total","total_responses_per_year"
"""FGDC""","1991-01-01",23,0,100.00,23
"""FGDC""","1992-01-01",28,0,93.33,30
"""ISO""","1992-01-01",0,2,0.00,30
"""FGDC""","1993-01-01",32,1,88.89,36
"""ISO""","1993-01-01",0,3,0.00,36
"""FGDC""","1994-01-01",31,0,96.88,32
"""ISO""","1994-01-01",0,1,0.00,32
"""FGDC""","1995-01-01",33,0,100.00,33
"""FGDC""","1996-01-01",44,0,95.65,46
"""ISO""","1996-01-01",0,2,0.00,46
"""FGDC""","1997-01-01",43,1,89.58,48
"""ISO""","1997-01-01",0,4,0.00,48
"""FGDC""","1998-01-01",274,1,69.54,394
"""ISO""","1998-01-01",0,119,0.00,394
"""FGDC""","1999-01-01",70,4,80.46,87
"""ISO""","1999-01-01",0,13,0.00,87
"""FGDC""","2000-01-01",63,2,80.77,78
"""ISO""","2000-01-01",0,13,0.00,78
"""FGDC""","2001-01-01",80,2,76.92,104
"""ISO""","2001-01-01",0,22,0.00,104
"""FGDC""","2002-01-01",176,7,80.00,220
"""ISO""","2002-01-01",0,37,0.00,220
"""FGDC""","2003-01-01",503,32,85.69,587
"""ISO""","2003-01-01",0,52,0.00,587
"""FGDC""","2004-01-01",851,40,90.34,942
"""ISO""","2004-01-01",0,51,0.00,942
"""FGDC""","2005-01-01",681,23,82.85,822
"""ISO""","2005-01-01",0,118,0.00,822
"""FGDC""","2006-01-01",860,26,79.56,1081
"""ISO""","2006-01-01",0,195,0.00,1081
"""FGDC""","2007-01-01",1255,59,81.87,1533
"""ISO""","2007-01-01",0,219,0.00,1533
"""FGDC""","2008-01-01",1470,128,77.29,1902
"""ISO""","2008-01-01",0,304,0.00,1902
"""FGDC""","2009-01-01",1108,78,74.41,1489
"""ISO""","2009-01-01",5,298,0.34,1489
"""FGDC""","2010-01-01",1808,72,81.37,2222
"""ISO""","2010-01-01",0,342,0.00,2222
"""FGDC""","2011-01-01",2702,103,85.37,3165
"""ISO""","2011-01-01",14,346,0.44,3165
"""FGDC""","2012-01-01",1892,1156,39.92,4740
"""ISO""","2012-01-01",35,1657,0.74,4740
"""FGDC""","2013-01-01",1190,276,36.76,3237
"""ISO""","2013-01-01",1163,608,35.93,3237
"""FGDC""","2014-01-01",2172,504,30.44,7135
"""ISO""","2014-01-01",917,3542,12.85,7135
"""FGDC""","2015-01-01",5101,730,53.12,9602
"""ISO""","2015-01-01",1253,2518,13.05,9602
