"age","lineage_type","count"
"1900-01-01","No Lineage",1
"1986-01-01","No Lineage",1
"1986-12-01","No Lineage",1
"1990-01-01","No Lineage",2
"1992-10-01","No Lineage",2
"1993-04-01","No Lineage",2
"1993-12-01","No Lineage",1
"1994-03-01","No Lineage",1
"1996-04-01","No Lineage",2
"1997-04-01","No Lineage",1
"1997-10-01","No Lineage",1
"1997-12-01","No Lineage",2
"1998-01-01","No Lineage",2
"1998-03-01","No Lineage",6
"1998-07-01","No Lineage",99
"1998-09-01","No Lineage",3
"1998-10-01","No Lineage",9
"1999-01-01","No Lineage",4
"1999-05-01","No Lineage",1
"1999-06-01","No Lineage",1
"1999-10-01","No Lineage",2
"1999-11-01","No Lineage",2
"1999-12-01","No Lineage",3
"2000-07-01","No Lineage",8
"2000-08-01","No Lineage",2
"2000-10-01","No Lineage",2
"2001-01-01","No Lineage",1
"2001-03-01","No Lineage",1
"2001-04-01","No Lineage",4
"2001-05-01","No Lineage",6
"2001-06-01","No Lineage",2
"2001-08-01","No Lineage",1
"2001-09-01","No Lineage",3
"2001-12-01","No Lineage",1
"2002-01-01","No Lineage",8
"2002-02-01","No Lineage",1
"2002-03-01","No Lineage",3
"2002-05-01","No Lineage",4
"2002-07-01","No Lineage",9
"2002-08-01","No Lineage",6
"2002-09-01","No Lineage",3
"2002-12-01","No Lineage",3
"2003-01-01","No Lineage",8
"2003-02-01","No Lineage",6
"2003-03-01","No Lineage",2
"2003-04-01","No Lineage",1
"2003-06-01","No Lineage",26
"2003-07-01","No Lineage",1
"2003-08-01","No Lineage",2
"2003-11-01","No Lineage",2
"2003-12-01","No Lineage",4
"2004-02-01","No Lineage",4
"2004-03-01","No Lineage",4
"2004-04-01","No Lineage",2
"2004-05-01","No Lineage",10
"2004-06-01","No Lineage",4
"2004-07-01","No Lineage",4
"2004-08-01","No Lineage",1
"2004-09-01","No Lineage",2
"2004-10-01","No Lineage",10
"2004-11-01","No Lineage",8
"2005-01-01","No Lineage",3
"2005-02-01","No Lineage",20
"2005-03-01","No Lineage",3
"2005-04-01","No Lineage",10
"2005-05-01","No Lineage",2
"2005-06-01","No Lineage",8
"2005-07-01","No Lineage",18
"2005-08-01","No Lineage",6
"2005-09-01","No Lineage",6
"2005-10-01","No Lineage",29
"2005-11-01","No Lineage",5
"2005-12-01","No Lineage",8
"2006-01-01","No Lineage",19
"2006-02-01","No Lineage",17
"2006-03-01","No Lineage",21
"2006-04-01","No Lineage",16
"2006-05-01","No Lineage",12
"2006-06-01","No Lineage",48
