"standard_name","standard_version"
"ANZLIC Metadata Profile: An Australian/New Zealand Profile of AS/NZS ISO 19115:2005, Geographic information - Metadata","1.1"
"DM - Regole tecniche RNDT","10 novembre 2011"
"Gemini","2.1"
"GEMINI","2.1"
"INSPIRE Implementing Rules for Metadata","1.2"
"ISO19115","1.0"
"ISO19115","2003/Cor.1:2006"
"ISO 19115","2003"
"ISO 19115","ISO 19139 / DKRZ ISO Simple Profile V1.0"
"ISO 19115","Nederlandse metadata profiel op ISO 19115 voor geografie 1.2"
"ISO 19115/19139","2003/cor1:2006"
"ISO 19115-2","ISO 19115-2:2009(E)"
"ISO 19115:2003/19139","1.0"
"ISO 19115/2003/Cor.1:2006","GDI-Vlaanderen Best Practices - versie 1.0"
"ISO 19115:2003 (GDI-BW)","1.2"
"ISO 19115:2003 - Geographic information - Metadata","ISO 19115:2003"
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for imagery and gridded data","ISO 19115-2:2009-02-15"
"ISO 19115-2 Geographic information -- Metadata -- Part 2: Extensions for imagery and gridded data","ISO 19115-2:2009-02-15"
"ISO 19115-2 Geographic information Metadata Part 2: Extensions for imagery and gridded data","ISO 19115-2:2009-02-15"
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data","ISO 19115-2:2009"
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data","ISO 19115-2:2009(E)"
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data","ISO 19115-2:2009(E)"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data","2007"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data","ISO 19115-2:2009(E)"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data","ISO 19115-2:2013(E)"
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data","ISO 19115-2:2009(E)"
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data between June 8, 2011 and July 28, 2011","ISO 19115-2:2009(E)"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data with Biological Extensions","ISO 19115-2:2009(E)"
"ISO 19115-2 Geographic Information - North American Profile Metadata - Data with Biological Extensions","ISO 19115-2:2009(E)"
"ISO 19115 Geographic information - Metadata","ISO 19115:2003(E)"
"ISO 19115 Geographic Information - Metadata","2009-02-15"
"ISO 19115 Geographic Information - Metadata","ISO 19115"
"ISO 19115 Geographic information - Metadata - Converted from Data.gov legacy DMS format.","ISO 19115:2003(E)"
"ISO 19115 Geographic information Metadata; WISE Metadata profile","2003/Cor.1:2006"
"ISO 19115/SeaDataNet profile","1.0"
"ISO 19115 (UK GEMINI)","1.0 (2.2)"
"ISO19119","2005/PDAM 1"
"ISO 19119","2005"
"ISO 19139/19115 Metadata for Datasets","2003"
"ISO 19139/19119 Metadata for Web Services","2005"
"ISO 19139 Geographic Information - Metadata - Implementation Specification","2007"
"ISO-NAP-USGIN","1.1"
"ISO-NAP-USGIN","1.1.4"
"ISO-USGIN","1.2"
"MEDIN Discovery metadata standard","2.3.4"
"MEDIN Discovery metadata standard","2.3.7"
"MEDIN Discovery metadata standard","2.3.8"
"MEDIN Discovery Metadata Standard","2.3.2"
"MEDIN Discovery Metadata Standard","Version 2.3"
"MEDIN Discovery Metadata Standard","Version 2.3.5"
"MEDIN Discovery Metadata Standard","Version 2.3.7"
"NAP - Metadata","1.2"
"NERC profile of ISO:19115:2003","1.0"
"NERC profile of ISO19115:2003","1.0"
"NERC profile of ISO19115:2003","2003(E)"
"North American Profile of ISO 19115:2003 - Geographic information - Metadata","CAN/CGSB-171.100-2009"
"North American Profile of ISO19115:2003 - Geographic information - Metadata","CAN/CGSB-171.100-2009"
"North American Profile of ISO 19115 Geographic Information Metadata","Enviroment Canada - Version 1"
"UK GEMINI","2.1"
"UK GEMINI","2.2"
"WMO Core Metadata Profile","1.0 (draft)"
