"the_version","host","pct_of_iso"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","catalog.data.gov",76.81
"ISO 19115 Geographic Information - Metadata; 2009-02-15","meta.geo.census.gov",100.00
"ISO-USGIN; 1.2","repository.stategeothermaldata.org",51.09
"ISO 19115; 2003","www.usgs.gov",99.83
"ISO-NAP-USGIN; 1.1.4","repository.stategeothermaldata.org",48.91
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","data.noaa.gov",86.41
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www.ngdc.noaa.gov",99.70
"ISO 19115 Geographic Information - Metadata; 2009-02-15","catalog.data.gov",16.13
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","inport.nmfs.noaa.gov",100.00
"ISO19115; 2003/Cor.1:2006","opendata.euskadi.eus",100.00
"ISO19115; 2003/Cor.1:2006","www.charts.noaa.gov",99.77
"ISO 19139/19119 Metadata for Web Services; 2005","gstore.unm.edu",59.29
"MEDIN Discovery Metadata Standard; Version 2.3.5","data-search.nerc.ac.uk",55.23
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","coastwatch.pfeg.noaa.gov",100.00
"ISO19115; 2003/Cor.1:2006","www.euskadi.eus",100.00
"ISO 19115 Geographic Information - Metadata; ISO 19115","gstore.unm.edu",39.97
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www.coris.noaa.gov",94.68
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","coast.noaa.gov",100.00
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www.ncddc.noaa.gov",67.62
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","data.ioos.us",100.00
"ISO 19115 (UK GEMINI); 1.0 (2.2)","locationmde.data.gov.uk",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","oos.soest.hawaii.edu",50.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","oos.soest.hawaii.edu",49.39
"NERC profile of ISO19115:2003; 1.0","data-search.nerc.ac.uk",22.97
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","ecco.jpl.nasa.gov",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","bluehub.jrc.ec.europa.eu",100.00
"ISO 19115 (UK GEMINI); 1.0 (2.2)","data-search.nerc.ac.uk",19.62
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","upwell.pfeg.noaa.gov",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","geoport.whoi.edu",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","data.noaa.gov",8.76
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","stellwagen.er.usgs.gov",100.00
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","data.nodc.noaa.gov",98.02
"ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)","www.earthsystemgrid.org",100.00
"ISO 19115:2003/19139; 1.0","catalog.data.gov",1.72
"ISO 19115-2 Geographic Information - North American Profile Metadata - Data with Biological Extensions; ISO 19115-2:2009(E)","mcm.lternet.edu",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","ecowatch.ncddc.noaa.gov",100.00
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www.ncddc.noaa.gov",24.13
"ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)","catalog.data.gov",1.51
"ISO 19115 Geographic Information - Metadata; ISO 19115","catalog.data.gov",1.31
"ISO 19115 Geographic information - Metadata - Converted from Data.gov legacy DMS format.; ISO 19115:2003(E)","edg.epa.gov",95.52
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","data.noaa.gov",4.50
"ISO 19115:2003 (GDI-BW); 1.2","data.ulm.de",100.00
"ISO-USGIN; 1.2","catalog.data.gov",0.90
"MEDIN Discovery metadata standard; 2.3.4","portal.oceannet.org",37.50
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","data.doi.gov",88.37
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","catalog.data.gov",0.76
"ISO19115; 2003/Cor.1:2006","www.lehendakaritza.ejgv.euskadi.eus",100.00
"INSPIRE Implementing Rules for Metadata; 1.2","data.satapps.org",97.30
"ISO 19139 Geographic Information - Metadata - Implementation Specification; 2007","sero.nmfs.noaa.gov",100.00
"MEDIN Discovery Metadata Standard; Version 2.3.5","portal.oceannet.org",29.81
"ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)","www.aoncadis.org",100.00
"MEDIN Discovery metadata standard; 2.3.4","www.admiralty.co.uk",89.29
"GEMINI; 2.1","datapoint.metoffice.gov.uk",100.00
"MEDIN Discovery metadata standard; 2.3.8","portal.oceannet.org",23.08
"ISO 19115; 2003","mrdata.usgs.gov",100.00
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009","www.ncddc.noaa.gov",7.30
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","osmc.noaa.gov",85.19
"ANZLIC Metadata Profile: An Australian/New Zealand Profile of AS/NZS ISO 19115:2005, Geographic information - Metadata; 1.1","data.gov.au",91.67
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","data.nanoos.org",100.00
"ISO 19115 Geographic information - Metadata - Converted from Data.gov legacy DMS format.; ISO 19115:2003(E)","catalog.data.gov",0.45
"WMO Core Metadata Profile; 1.0 (draft)","wis.wmo.int",91.30
"ISO 19115-2 Geographic Information - North American Profile Metadata - Data with Biological Extensions; ISO 19115-2:2009(E)","gar.lternet.edu",100.00
"ISO19115; 2003/Cor.1:2006","www.eea.europa.eu",100.00
"ISO 19115/19139; 2003/cor1:2006","data.daff.gov.au",73.91
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","ferret.pmel.noaa.gov",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","pacioos-mapserver2.ancl.hawaii.edu",100.00
"UK GEMINI; 2.2","data-search.nerc.ac.uk",1.60
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","gsics.eumetsat.int",100.00
"NERC profile of ISO19115:2003; 1.0","webarchive.nationalarchives.gov.uk",5.84
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","www.coris.noaa.gov",2.66
"ISO19115; 2003/Cor.1:2006","maps.derby.gov.uk",100.00
"ISO 19115:2003 - Geographic information - Metadata; ISO 19115:2003","catalog.data.gov",0.14
"ISO 19115; Nederlandse metadata profiel op ISO 19115 voor geografie 1.2","www.rijkswaterstaat.nl",100.00
"ISO 19139 Geographic Information - Metadata - Implementation Specification; 2007","data.ottawa.ca",85.71
"ISO19115; 2003/Cor.1:2006","opendata.thessaloniki.gr",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","rsg.pml.ac.uk",100.00
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www.marine-geo.org",100.00
"ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)","data.doi.gov",11.63
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","osmc.noaa.gov",14.81
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","catalog.data.gov",0.08
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","tds.glos.us",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","dataxfer.stanford.edu",100.00
"ISO 19139/19115 Metadata for Datasets; 2003","data.boisestate.edu",100.00
"ISO 19139 Geographic Information - Metadata - Implementation Specification; 2007","www.coris.noaa.gov",1.52
"ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)","edg.epa.gov",4.48
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data between June 8, 2011 and July 28, 2011; ISO 19115-2:2009(E)","www.ncddc.noaa.gov",0.95
"North American Profile of ISO 19115 Geographic Information Metadata; Enviroment Canada - Version 1","donnees.ec.gc.ca",60.00
"ISO19119; 2005/PDAM 1","www.geoportal.rlp.de",75.00
"ISO 19119; 2005","www.admiralty.co.uk",10.71
"ISO 19115/SeaDataNet profile; 1.0","www.seadatanet.org",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www1.usgs.gov",100.00
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data with Biological Extensions; ISO 19115-2:2009(E)","oos.soest.hawaii.edu",0.61
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","docs.lib.noaa.gov",100.00
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","cida.usgs.gov",100.00
"ISO 19115-2 Geographic information Metadata Part 2: Extensions for imagery and gridded data; ISO 19115-2:2009-02-15","data.nodc.noaa.gov",1.98
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; 2007","www.coris.noaa.gov",0.76
"ISO19115; 2003/Cor.1:2006","edgar.jrc.ec.europa.eu",100.00
"ISO 19115 (UK GEMINI); 1.0 (2.2)","www.beacons-npa.gov.uk",100.00
"DM - Regole tecniche RNDT; 10 novembre 2011","www.sitr.regione.sicilia.it",100.00
"ISO 19115:2003/19139; 1.0","www.data.gouv.fr",100.00
"MEDIN Discovery Metadata Standard; 2.3.2","portal.oceannet.org",1.92
"ISO 19115; 2003","wis.wmo.int",8.70
"ISO 19115/19139; 2003/cor1:2006","data.gov.au",8.33
"North American Profile of ISO 19115:2003 - Geographic information - Metadata; CAN/CGSB-171.100-2009","donnees.ec.gc.ca",40.00
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www.geoviqua.org",100.00
"ISO 19115 Geographic information Metadata; WISE Metadata profile; 2003/Cor.1:2006","taskman.eionet.europa.eu",50.00
"ISO19115; 2003/Cor.1:2006","www.geoportal.rlp.de",25.00
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www1.ncdc.noaa.gov",100.00
"ISO19115; 2003/Cor.1:2006","vislab-ccom.unh.edu",100.00
"NAP - Metadata; 1.2","www.deq.state.va.us",100.00
"NERC profile of ISO19115:2003; 1.0","data.satapps.org",2.70
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www.bco-dmo.org",100.00
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data with Biological Extensions; ISO 19115-2:2009(E)","www.coris.noaa.gov",0.38
"ISO 19139/19115 Metadata for Datasets; 2003","catalog.data.gov",0.02
"ISO19115; 1.0","catalog.data.gov",0.02
"ISO19115; 2003/Cor.1:2006","discomap.eea.europa.eu",100.00
"ISO 19139 Geographic Information - Metadata - Implementation Specification; 2007","catalogue.datalocale.fr",100.00
"ISO 19139 Geographic Information - Metadata - Implementation Specification; 2007","data.noaa.gov",0.08
"ISO19115; 2003/Cor.1:2006","climate-adapt.eea.europa.eu",100.00
"Gemini; 2.1","partnerdataexport.ccw.gov.uk",100.00
"ANZLIC Metadata Profile: An Australian/New Zealand Profile of AS/NZS ISO 19115:2005, Geographic information - Metadata; 1.1","www.ga.gov.au",100.00
"ISO 19139 Geographic Information - Metadata - Implementation Specification; 2007","www.datalocale.fr",100.00
"ISO-NAP-USGIN; 1.1","catalog.data.gov",0.02
"ISO 19115:2003/19139; 1.0","www.add.scar.org",100.00
"ISO 19115:2003/19139; 1.0","vogis.cnv.at",100.00
"ISO 19115:2003/19139; 1.0","taskman.eionet.europa.eu",50.00
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","www.nauticalcharts.noaa.gov",100.00
"ISO 19115:2003/19139; 1.0","gisdata.nd.gov",100.00
"ISO 19115:2003/19139; 1.0","data.fao.org",100.00
"MEDIN Discovery metadata standard; 2.3.7","portal.oceannet.org",0.96
"ISO 19115:2003/19139; 1.0","d1opzmrrdjgef4.cloudfront.net",100.00
"MEDIN Discovery Metadata Standard; Version 2.3","data-search.nerc.ac.uk",0.15
