"the_version","num","pct_of_iso"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","6666","33.86"
"ISO 19115 Geographic Information - Metadata; 2009-02-15","2516","12.78"
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data; ISO 19115-2:2009(E)","1503","7.63"
"ISO19115; 2003/Cor.1:2006","1470","7.47"
"ISO-USGIN; 1.2","1241","6.30"
"ISO 19115; 2003","1179","5.99"
"ISO-NAP-USGIN; 1.1.4","1146","5.82"
"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","1074","5.45"
"MEDIN Discovery Metadata Standard; Version 2.3.5","411","2.09"
"ISO 19139/19119 Metadata for Web Services; 2005","399","2.03"
"ISO 19115 Geographic Information - Metadata; ISO 19115","333","1.69"
"ISO 19115 (UK GEMINI); 1.0 (2.2)","318","1.62"
"ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)","208","1.06"
"NERC profile of ISO19115:2003; 1.0","167","0.85"
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","136","0.69"
"ISO 19115-2 Geographic Information - North American Profile Metadata - Data with Biological Extensions; ISO 19115-2:2009(E)","96","0.49"
"ISO 19115:2003/19139; 1.0","92","0.47"
"ISO 19115 Geographic information - Metadata - Converted from Data.gov legacy DMS format.; ISO 19115:2003(E)","86","0.44"
"MEDIN Discovery metadata standard; 2.3.4","64","0.33"
"ISO 19115:2003 (GDI-BW); 1.2","46","0.23"
"ISO 19139 Geographic Information - Metadata - Implementation Specification; 2007","45","0.23"
"INSPIRE Implementing Rules for Metadata; 1.2","36","0.18"
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009","25","0.13"
"GEMINI; 2.1","25","0.13"
"MEDIN Discovery metadata standard; 2.3.8","24","0.12"
"ANZLIC Metadata Profile: An Australian/New Zealand Profile of AS/NZS ISO 19115:2005, Geographic information - Metadata; 1.1","23","0.12"
"WMO Core Metadata Profile; 1.0 (draft)","21","0.11"
"ISO 19115/19139; 2003/cor1:2006","19","0.10"
"UK GEMINI; 2.2","11","0.06"
"ISO 19115:2003 - Geographic information - Metadata; ISO 19115:2003","7","0.04"
"ISO 19139/19115 Metadata for Datasets; 2003","5","0.03"
"ISO 19115; Nederlandse metadata profiel op ISO 19115 voor geografie 1.2","6","0.03"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; 2007","3","0.02"
"ISO 19115/SeaDataNet profile; 1.0","3","0.02"
"ISO19119; 2005/PDAM 1","3","0.02"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data with Biological Extensions; ISO 19115-2:2009(E)","3","0.02"
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data between June 8, 2011 and July 28, 2011; ISO 19115-2:2009(E)","4","0.02"
"North American Profile of ISO 19115 Geographic Information Metadata; Enviroment Canada - Version 1","3","0.02"
"ISO 19119; 2005","3","0.02"
"MEDIN Discovery Metadata Standard; Version 2.3","1","0.01"
"ISO-NAP-USGIN; 1.1","1","0.01"
"Gemini; 2.1","1","0.01"
"ISO19115; 1.0","1","0.01"
"MEDIN Discovery Metadata Standard; Version 2.3.7","1","0.01"
"ISO 19115-2 Geographic information Metadata Part 2: Extensions for imagery and gridded data; ISO 19115-2:2009-02-15","2","0.01"
"MEDIN Discovery metadata standard; 2.3.7","1","0.01"
"North American Profile of ISO 19115:2003 - Geographic information - Metadata; CAN/CGSB-171.100-2009","2","0.01"
"NAP - Metadata; 1.2","2","0.01"
"MEDIN Discovery Metadata Standard; 2.3.2","2","0.01"
"UK GEMINI; 2.1","1","0.01"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2013(E)","1","0.01"
"DM - Regole tecniche RNDT; 10 novembre 2011","2","0.01"
"ISO 19115-2; ISO 19115-2:2009(E)","2","0.01"
"ISO 19115 Geographic information Metadata; WISE Metadata profile; 2003/Cor.1:2006","1","0.01"
