host,responses_with_json
datasets.antwerpen.be,13062
data.cdc.gov,2959
data.baltimorecity.gov,2530
data.ok.gov,1413
data.hartford.gov,1406
data.lacity.org,1355
data.kingcounty.gov,1227
data.seattle.gov,1215
catalog.data.gov,1003
data.cityofnewyork.us,901
data.illinois.gov,892
data.maryland.gov,706
data.oregon.gov,686
data.brla.gov,617
opendata.euskadi.eus,515
search.geothermaldata.org,506
data.cityofchicago.org,443
data.wa.gov,442
data.montgomerycountymd.gov,436
data.noaa.gov,343
atf.socrata.com,270
data.sfgov.org,259
b2find.eudat.eu,251
data.gov.uk,228
datacatalog.cookcountyil.gov,222
data.honolulu.gov,128
data.mo.gov,116
datainfoplus.stats.govt.nz,78
en.openei.org,63
www.gnu.org,61
data.code4sa.org,56
data.somervillema.gov,56
www.opendata.fi,42
www.opendata.go.ke,33
opendata.montpelliernumerique.fr,31
www.gipuzkoairekia.eus,23
gisdata.mn.gov,21
www.salforddataquay.uk,18
svn.apache.org,14
ctdata.org,12
publicdata.eu,12
ifp-08.ifp.uiuc.edu,12
www.avoindata.fi,11
data.gov.au,10
dartportal.leeds.ac.uk,9
lists.sci.utah.edu,8
docs.oasis-open.org,7
dati.toscana.it,6
demo.ckan.org,4
data.gov.ie,4
acm2007.cct.lsu.edu,3
www.veritas-project.eu,3
data.geothermaldata.org,3
salforddataquay.uk,3
www.geothermaldata.org,2
geothermaldata.org,2
central.biomart.org,2
texashistory.unt.edu,2
data.beta.nyc,2
africaopendata.org,2
veritas-project.eu,2
data.satapps.org,1
comp.physik.kit.edu,1
