"xpath","extracted_json","protocol"
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065816}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5939749, ""cellId"": 23661, ""pageWidth"": 22.75}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065815}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5938475, ""cellId"": 7111, ""pageWidth"": 22.75}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6152781}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065815}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 7086663}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 7088320}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5546652, ""cellId"": 23927, ""pageWidth"": 22.75}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6152782}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5310862, ""cellId"": 43740, ""pageWidth"": 22.75}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5965622, ""cellId"": 33386, ""pageWidth"": 22.75}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065840}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 7086663}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6152793}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""pageHeight"": 33.5, ""scale"": 20000, ""gdaId"": 5964526, ""cellId"": 75922, ""pageWidth"": 29}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065755}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065862}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 7088320}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065870}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5636769, ""cellId"": 41278, ""pageWidth"": 22.75}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065808}","""FGDC"""
"metadata/idinfo/descript/supplinf","{""gdaId"": 6065845}","""FGDC"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5310862, ""cellId"": 43740, ""pageWidth"": 22.75}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 6065845}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 6065817}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 6065840}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 6065817}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5938475, ""cellId"": 7111, ""pageWidth"": 22.75}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 7086663}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5636769, ""cellId"": 41278, ""pageWidth"": 22.75}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 33.5, ""scale"": 20000, ""gdaId"": 5964526, ""cellId"": 75922, ""pageWidth"": 29}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5939749, ""cellId"": 23661, ""pageWidth"": 22.75}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 6065840}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 6065870}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5965622, ""cellId"": 33386, ""pageWidth"": 22.75}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 6065808}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5546652, ""cellId"": 23927, ""pageWidth"": 22.75}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5219105, ""cellId"": 11979, ""pageWidth"": 22.75}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""pageHeight"": 29, ""scale"": 24000, ""gdaId"": 5248222, ""cellId"": 29506, ""pageWidth"": 22.75}","""ISO"""
"MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","{""gdaId"": 6152793}","""ISO"""
