xpath,xpaths
dataset/data/record/geometry,13062
response/row/row/location_1/@human_address,8361
response/row/row/location/@human_address,2808
RDF/Dataset/relation/Description/value,2528
response/row/row/geom/@human_address,1073
response/row/row/mailing_address/@human_address,1062
response/row/row/city/@human_address,971
view/columns/viewColumn/cachedContents/top/item/item/@human_address,812
response/row/row/geocode/@human_address,684
response/row/row/geolocation/@human_address,533
content/documents/document/documentLinkedData/linkedDocumentInfo,515
response/row/row/location_geo/@human_address,496
response/row/row/location_for_map/@human_address,493
response/row/row/address/@human_address,310
response/row/row/zip_code/@human_address,233
response/row/row/arwork_address/@human_address,165
response/row/row/intersection/@human_address,137
Fragment/Group/UserAttributePair/AttributeValue,77
pre/tt/font,64
view/columns/viewColumn/cachedContents/smallest/@human_address,58
response/row/row/state_geocoded/@human_address,52
view/columns/viewColumn/cachedContents/largest/@human_address,51
kml/Document/Folder/Placemark/ExtendedData/SchemaData/SimpleData,31
response/row/row/event_location/@human_address,29
metadata/idinfo/descript/supplinf,25
response/row/row/loan_location/@human_address,21
MI_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString,18
response/row/row/location_2/@human_address,17
project/profiles/profile/properties/profile.virtualhostnode.context.blueprint,14
ANNOTATION_DOCUMENT/TIER/ANNOTATION/ALIGNABLE_ANNOTATION/ANNOTATION_VALUE,12
RDF/Dataset/spatial,10
TestSuite/TestCase/Input,7
network/modules/module/var/@val,7
uiModel/PBModel/psychologicalState/responses/response/base,5
metadata/contributor/name,2
response/row/row/location_point/@human_address,2
Fragment/StudyUnit/UserAttributePair/AttributeValue,1
network/note,1
guiContainer/guiContainers/guiContainer/marts/mart/@meta,1
marts/mart/@meta,1
Worksheet/Section/Group/Input/Text-field/Font,1
